# Downloaded from http://scsie.uv.es/chipsdna/mRNA%20final%20data.txt
# From Genomic Run-On Evaluates Transcription Rates for All Yeast Genes and Identifies Gene Regulatory Mechanisms, 
# Molecular Cell Volume 15, Issue 2, 23 July 2004, Pages 303–313 José Garci´a-Marti´nez1, 2, Agusti´n Aranda1, 3, José E Pérez-Orti´n
# http://www.sciencedirect.com/science/article/pii/S1097276504003375
#ORF name	Gene name	Biological Process	mRNA t0	SD t0	mRNA t1	SD t1	mRNA t2	SD t2	mRNA t3	SD t3	mRNA t4	SD t4	mRNA t5	SD t5
orf	gene	biological.process	mrna.t0	sd.t0	mrna.t1	sd.t1	mrna.t2	sd.t2	mrna.t3	sd.t3	mrna.t4	sd.t4	mrna.t5	sd.t5
YAL047W-A	YAL047W-A	unknown	18.7061	3.7594	12.9389	3.5328	13.3346	3.479	10.1569	3.6998	12.6792	3.5151	11.415	3.6347
YAL048C	YAL048C	secretion (putative)	21.527	7.2434	19.0047	6.5987	22.8641	6.8174	21.7941	6.9371	33.4438	6.4378	24.3006	6.8367
YAL049C	YAL049C	unknown	52.2092	6.1347	38.4174	5.8785	55.5772	6.2251	44.5171	6.2758	52.8615	5.6892	41.6902	5.9434
YAL051W	OAF1	peroxisome proliferation	27.8215	7.3562	17.0703	3.4677	17.6724	6.9826	19.1026	7.1778	24.7775	6.7224	18.3964	7.1748
YAL053W	YAL053W	unknown	79.8192	6.8779	55.6586	6.6481	50.5542	6.9095	49.6017	7.0116	64.8157	6.3667	41.6897	6.6421
YAL054C	ACS1	acetyl-CoA biosynthesis	5.5099	3.8718	4.5466	3.6483	35.2509	6.0932	25.1044	6.1081	20.0024	5.65	5.1754	3.3037
YAL055W	YAL055W	peroxisome biogenesis (putative)	9.1856	2.9645	8.4782	2.6733	5.7415	2.8358	5.5539	2.8772	9.8711	2.5863	9.2487	2.6725
YAL056W	YAL056W	unknown	28.1753	6.2923	14.338	3.0055	22.3139	6.1349	16.3813	6.2012	29.7369	5.7657	21.4004	6.126
YAL058W	CNE1	secretion	89.9084	6.1206	34.5643	5.8025	48.3859	6.1502	22.8567	6.0692	37.2066	5.6098	29.2903	5.9045
YAL059W	ECM1	cell wall biogenesis	44.4751	5.7694	28.9014	5.4694	8.4167	2.9139	15.0022	5.7014	28.4283	5.3032	24.4949	5.6106
YAL060W	BDH1	unknown	50.8268	5.4348	45.7493	5.2738	236.1073	5.6409	169.4762	5.7342	131.5341	5.1149	100.3552	5.3118
YAL061W	FUN50	unknown	46.2788	4.9602	34.2423	4.7708	38.6064	5.004	26.381	5.0136	29.2339	4.5644	32.9673	4.8006
YAL062W	GDH3	glutamate biosynthesis	17.1177	5.1037	13.564	4.7015	16.4016	4.8597	26.0904	5.0539	15.7112	4.6416	15.5132	4.8877
YAL064W-B	YAL064W-B	unknown	5.5607	3.1161	4.1308	2.9893	5.767	2.7084	5.8119	2.7342	7.602	2.5715	4.597	2.7436
YAL065C	YAL065C	unknown	3.6729	4.5395	3.3446	4.246	6.8418	3.495	5.889	3.6197	6.6357	3.4633	5.7765	3.4891
YAL066W	YAL066W	flocculation	10.3923	9.3607	3.7753	10.9959	4.8386	10.461	5.4777	9.5322	NA	NA	NA	NA
YAL067C	SEO1	drug resistance	NA	NA	NA	NA	1.5684	5.6386	NA	NA	0.8885	5.2931	NA	NA
YAR002C-A	ERP1	 ER to Golgi transport	96.062	6.3988	93.6087	6.305	33.3253	6.3281	46.7931	6.5103	65.0513	5.9161	54.4167	6.1655
YAR002W	NUP60	nuclear protein targeting	111.5045	7.52	67.2983	7.2827	25.3865	7.2826	23.8471	7.4006	62.6517	6.9303	52.32	7.2434
YAR003W	SWD1	                         signal transduction	7.9032	3.5717	4.6604	3.5918	3.0988	3.9722	1.8079	4.3519	3.1966	3.6351	4.406	3.3362
YAR007C	RFA1	DNA replication	37.5842	6.8334	30.7741	6.4566	13.2459	3.3315	31.034	6.8988	36.5671	6.3096	14.0627	3.4274
YAR008W	SEN34	tRNA splicing	21.7911	6.1179	17.3484	5.6412	1.836	4.6206	7.6445	3.1719	13.721	2.8752	7.3837	3.138
YAR010C	YAR010C	unknown	592.5358	8.9662	154.2296	8.7966	298.2832	9.1687	174.1637	9.2643	294.9101	8.356	134.8626	8.6111
YAR014C	BUD14	unknown	32.838	5.8112	26.9387	5.5012	17.5447	5.6462	16.2065	5.76	28.8147	5.3591	25.5571	5.6677
YAR015W	ADE1	purine biosynthesis	205.5926	6.1018	168.2906	6.0699	28.6394	5.9719	23.9754	6.0278	59.7992	5.6043	82.0459	5.8683
YAR018C	KIN3	unknown	22.8163	6.4866	17.9103	5.9846	8.4945	3.2719	11.4405	3.2135	16.8219	6.0034	13.2567	3.1826
YAR019C	CDC15	cell cycle	22.326	7.9446	14.7601	3.7454	20.5743	7.3564	15.6333	3.8125	19.5579	7.2211	17.7831	3.7908
YAR020C	PAU7	unknown	NA	NA	NA	NA	1.6351	5.5736	NA	NA	0.5076	5.9279	NA	NA
YAR023C	YAR023C	unknown	276.4384	6.894	153.4591	6.8212	85.489	6.9659	83.9812	7.068	124.6073	6.3862	100.0278	6.6312
YAR027W	UIP3	unknown	21.3024	7.2926	14.6535	3.414	22.3672	6.8414	14.4563	3.5129	20.6776	6.5783	29.8561	6.8483
YAR028W	YAR028W	unknown	38.7651	6.3893	24.2943	5.9854	11.9306	3.1262	9.3905	3.3101	18.1496	6.0032	53.1467	6.2179
YAR029W	FUN57	unknown	96.8262	7.0416	58.8206	6.8046	53.3058	7.0696	61.3654	7.2093	82.0264	6.53	85.6931	6.81
YAR030C	YAR030C	unknown	20.4618	7.9344	14.0097	3.7302	5.2935	4.5432	7.5125	4.1592	11.651	3.7987	12.0525	3.8526
YAR031W	PRM9	unknown	20.9409	6.9901	14.0494	3.2817	20.0243	6.5471	13.3049	3.3863	17.6769	6.3831	15.4214	3.3614
YAR033W	FUN59	unknown	13.7002	3.6145	9.9077	3.3986	8.0748	3.4676	7.8207	3.5376	11.5426	3.2743	11.2203	3.3612
YAR035W	YAT1	fatty acid transport	5.6068	3.3839	3.3868	3.4247	15.4535	5.2722	23.1652	5.484	21.6602	5.0273	8.4999	2.7901
YAR042W	SWH1	unknown	66.9423	6.8471	46.1544	6.575	40.7904	6.8374	45.9031	6.9755	64.2566	6.3492	58.7239	6.6263
YAR044W	OSH1	sterol biosynthesis (putative)	56.8422	6.5857	46.2817	6.3449	46.8051	6.6289	49.8731	6.7454	68.4212	6.1255	51.6963	6.3803
YAR047C	YAR047C	unknown	3.3027	7.2999	3.4221	6.7156	4.6282	6.2134	9.7771	5.1017	3.7812	5.9147	3.2316	5.6742
YAR050W	FLO1	flocculation	4.3904	5.704	3.9995	5.3426	5.6742	4.8347	7.9103	4.4431	5.477	4.6292	5.887	4.4449
YAR053W	YAR053W	unknown	9.5517	5.0274	2.7633	6.1073	4.7884	5.2713	3.3826	5.5442	9.1989	4.3886	2.4096	5.1542
YAR060C	YAR060C	unknown	3.6215	4.4893	0.1656	9.4203	1.8202	5.0209	5.3167	3.6426	5.2421	3.5554	2.8868	3.7435
YAR061W	YAR061W	unknown	5.8831	4.9418	5.9958	4.4468	7.3186	4.1588	4.7311	4.559	8.4023	3.9823	3.9296	4.3343
YAR062W	YAR062W	unknown	3.2116	5.4316	1.4566	6.1668	3.3933	4.9491	2.1346	5.2967	3.0948	4.583	1.747	4.664
YAR064W	YAR064W	unknown	23.3573	5.5095	10.6909	2.682	13.7096	5.2675	8.7848	2.7983	18.2327	5.0776	15.7212	5.3809
YAR068W	YAR068W	unknown	45.1224	8.4154	25.5682	7.8953	34.8114	8.3127	31.5953	8.4239	48.2792	7.7781	40.5095	8.1972
YAR069C	YAR069C	biological_process unknown	10.8469	3.7708	8.248	3.5405	2.6909	4.6851	3.9228	4.0734	7.3963	3.5109	4.5847	3.6918
YAR070C	YAR070C	unknown	5.4584	5.1933	0.2023	11.399	1.5696	6.7728	3.1539	5.1797	4.5516	4.5741	2.0548	4.8739
YAR071W	PHO11	phosphate metabolism	646.1599	6.7427	312.2582	6.7309	NA	NA	NA	NA	NA	NA	6.7527	3.5232
YAR073W	IMD1	unknown	66.7411	5.991	49.1752	5.7967	7.5479	3.0968	15.2251	5.8973	18.6301	5.5494	13.0396	2.9712
YBL001C	ECM15	cell wall biogenesis	29.7303	6.0746	25.822	5.7068	34.8997	6.0773	31.1047	6.1484	46.9618	5.6334	75.0947	5.9165
YBL002W	HTB2	chromatin structure	507.5567	7.8832	300.9035	7.8597	44.0904	7.7512	182.8752	8.1703	309.7362	7.3637	194.8571	7.6507
YBL003C	HTA2	chromatin structure	179.6018	6.2927	107.5398	6.1976	71.3959	6.3571	145.9331	6.548	145.6846	5.8612	133.7719	6.1092
YBL004W	YBL004W	unknown	32.9506	7.4835	30.8726	6.9907	0.8938	7.6952	15.2442	3.7213	31.4476	6.8539	12.3909	3.7876
YBL005W	PDR3	transport	36.1057	7.8952	25.6538	7.3572	17.1966	3.7984	17.2321	3.9165	19.9658	7.4556	17.5712	3.9201
YBL006C	YBL006C	unknown	52.1957	5.2842	39.5457	5.0983	23.6712	5.2117	18.822	5.2486	45.3601	4.892	32.8064	5.1115
YBL007C	SLA1	cytoskeleton	244.046	6.6112	189.5118	6.5779	120.1129	6.7338	115.3651	6.8347	167.0801	6.1557	121.7618	6.3889
YBL008W	HIR1	transcription	26.2691	6.4073	15.5386	6.0471	8.7278	3.2487	13.0827	3.1726	21.7695	5.8851	11.9156	3.2009
YBL009W	YBL009W	unknown	78.1167	7.711	52.2538	7.4036	14.1397	3.7547	22.8835	7.6014	36.905	7.0632	29.3803	7.4851
YBL010C	YBL010C	unknown	22.6285	6.5969	18.265	6.0721	12.5939	3.1404	16.0229	6.3948	24.0687	5.9606	19.0833	6.3418
YBL011W	SCT1	unknown	117.0652	6.3719	84.2749	6.2479	57.6003	6.4174	65.6447	6.5382	85.9386	5.9074	61.0088	6.1328
YBL012C	YBL012C	unknown	50.593	6.3382	35.0565	6.039	18.5664	6.1261	20.2808	6.2792	31.2956	5.8237	21.7646	6.1834
YBL013W	FMT1	tRNA processing	228.3057	5.6972	53.3653	5.4895	64.83	5.7446	36.6841	5.7324	83.0721	5.2607	58.2855	5.4573
YBL014C	RRN6	transcription	49.4594	6.7772	33.3511	6.4224	19.191	6.5442	24.3876	6.7575	40.8564	6.2568	31.4594	6.5895
YBL016W	FUS3	mating (cell cycle arrest)	89.5976	6.3546	75.6711	6.2232	29.6312	6.2572	30.9463	6.3748	56.862	5.8661	64.6419	6.1332
YBL017C	PEP1	vacuolar protein targeting	47.8936	6.5473	39.3147	6.2714	57.8385	6.6505	58.7587	6.7542	22.0099	6.0675	39.956	6.3559
YBL018C	POP8	tRNA processing	12.0001	4.4019	7.0836	4.3839	NA	NA	NA	NA	4.5977	4.5261	5.432	4.2634
YBL019W	APN2	DNA repair	NA	NA	NA	NA	1.0334	6.39	5.2039	3.876	6.5106	3.6244	11.6154	3.3966
YBL020W	RFT1	cell cycle	88.3006	7.2178	61.6895	6.9892	20.5787	6.9344	42.4744	7.3027	62.2742	6.6679	39.6752	6.9692
YBL021C	HAP3	transcription	18.6296	5.3309	12.0112	2.5048	7.2897	2.6651	19.9282	5.2278	30.5407	4.8251	13.1604	5.1702
YBL022C	PIM1	respiration	31.8186	6.1913	11.9177	3.0435	15.2783	5.9629	4.8421	3.5791	18.1469	5.7968	24.1352	6.0392
YBL023C	MCM2	DNA replication	29.8972	5.9617	20.5713	5.5693	11.029	2.9148	12.507	2.9742	21.7478	5.5082	13.6779	2.9646
YBL024W	NCL1	unknown	133.4248	6.5837	102.6945	6.4832	16.8942	6.2707	33.5303	6.5962	69.7832	6.0757	43.7222	6.3246
YBL025W	RRN10	transcription	18.8193	6.1965	11.4621	2.95	9.4758	2.9946	10.1722	3.0483	14.4225	5.7123	17.3927	5.8961
YBL026W	LSM2	mRNA splicing	39.6431	10.714	26.6495	10.0105	14.7478	5.3778	18.3354	5.3467	26.2945	10.0097	24.0424	5.2477
YBL027W	RPL19B	protein synthesis	959.3207	9.3869	749.8067	9.4008	77.2102	9.3486	224.5672	9.722	580.535	8.8045	339.7737	9.2001
YBL028C	YBL028C	unknown	33.2316	7.2215	17.3038	6.8681	2.5232	5.312	6.8772	3.9978	11.6347	3.5997	8.6557	3.7703
YBL029C-A	YBL029C-A	unknown	25.8391	7.6122	12.4286	3.7452	43.039	7.454	68.0602	7.6888	64.6191	6.9216	96.2082	7.259
YBL030C	PET9	transport	62.3113	5.9137	60.0777	5.7746	157.1432	6.1139	226.4039	6.245	334.6691	5.6177	192.1264	5.8546
YBL031W	SHE1	unknown	15.2435	4.3495	11.5982	4.059	5.4765	4.753	10.3251	4.1422	14.9571	3.8549	15.5259	3.9566
YBL032W	YBL032W	unknown	188.5585	6.1775	95.1128	6.0637	48.9596	6.1737	73.3514	6.3391	94.7255	5.7174	48.0593	5.9178
YBL033C	RIB1	flavin biosynthesis	78.3181	5.3951	55.1173	5.2531	78.7964	5.5106	96.3369	5.6181	120.8381	5.0495	82.1232	5.2313
YBL034C	STU1	mitosis	NA	NA	1.4519	7.134	NA	NA	NA	NA	NA	NA	NA	NA
YBL035C	POL12	DNA replication	29.957	7.3686	24.4602	6.8219	7.3567	3.9964	14.6047	3.6543	30.2895	6.7212	14.7414	3.6602
YBL036C	YBL036C	unknown	74.666	6.3171	37.1689	6.0137	20.8812	6.1234	26.5167	6.309	45.3057	5.8192	36.7415	6.1002
YBL037W	APL3	secretion	56.6432	7.3028	37.0947	6.928	42.8282	7.3066	40.2646	7.4069	58.615	6.7716	37.8012	7.0895
YBL038W	MRPL16	protein synthesis	5.6416	3.7514	NA	NA	14.4673	5.7281	15.1721	5.8906	15.3099	5.6297	21.2929	5.8105
YBL039C	URA7	pyrimidine biosynthesis	222.9079	6.15	167.8306	6.1141	4.4392	3.602	46.8782	6.226	100.1696	5.6913	32.354	5.889
YBL040C	ERD2	ER protein retention	36.7294	8.709	25.2553	8.1171	18.8703	4.1737	14.6671	4.3945	25.1713	8.0956	24.839	8.5034
YBL041W	PRE7	protein degradation	98.538	6.0868	47.2943	5.855	31.1941	6.0114	34.8166	6.1363	68.5564	5.6331	82.626	5.886
YBL042C	FUI1	transport	67.3391	6.3486	49.5465	6.1322	9.7182	3.1668	34.266	6.4119	67.1492	5.8934	62.4453	6.1433
YBL043W	ECM13	cell wall biogenesis	20.8908	6.7083	14.3377	3.1367	25.6715	6.4064	54.7697	6.7071	59.1453	6.0574	32.6333	6.33
YBL044W	YBL044W	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YBL045C	COR1	oxidative phosphorylation	267.0462	6.9843	153.4171	6.9101	530.0202	7.1494	1113.6264	7.2972	1114.9601	6.6356	673.5792	7.1357
YBL046W	YBL046W	unknown	13.8294	2.8665	10.0213	2.6756	3.4797	3.3375	6.9115	2.8571	10.9878	2.6265	9.7778	2.7354
YBL047C	EDE1	unknown	143.9882	7.2956	93.9324	7.1433	74.1221	7.3682	67.0046	7.4577	98.7323	6.7602	104.4019	7.0487
YBL048W	YBL048W	unknown	1.9522	7.3697	NA	NA	2.4525	6.6957	1.5108	7.0251	2.2243	5.8757	1.3614	5.7734
YBL049W	YBL049W	unknown	4.4516	4.4381	2.8405	4.5158	23.0845	6.421	29.728	6.6148	24.6123	6.0578	12.8452	3.2975
YBL050W	SEC17	secretion	128.2799	6.3864	83.2017	6.2546	130.9436	6.5433	114.0377	6.632	135.74	5.9564	128.2956	6.2079
YBL051C	PIN4	unknown	229.4746	8.8547	152.6593	8.7285	101.3495	8.9529	105.7587	9.0973	208.0319	8.2545	165.7316	8.5784
YBL052C	SAS3	silencing	19.8001	7.547	12.7885	3.5805	8.6016	3.7859	9.7248	3.765	17.3806	6.8483	13.3533	3.6285
YBL053W	YBL053W	unknown	42.4654	13.9529	40.0372	12.6711	24.6064	6.6162	17.1766	7.1356	34.0202	12.8064	48.6836	13.1887
YBL055C	YBL055C	unknown	35.7422	6.0808	22.4608	5.6939	15.6338	5.8657	17.4097	6.0284	22.0267	5.6305	28.3402	5.9275
YBL056W	PTC3	osmotic stress response (putative)	71.4231	5.9756	54.3977	5.8027	34.1325	5.9449	43.6285	6.0924	52.6554	5.5236	51.0368	5.7704
YBL057C	YBL057C	unknown	29.4558	5.6989	18.1407	5.3343	9.7166	2.8161	10.4088	2.8766	19.1834	5.2891	15.0476	5.6294
YBL058W	SHP1	glucose repression	79.26	5.8207	68.3941	5.6996	40.0406	5.8249	38.7125	5.9087	49.4334	5.3702	61.4566	5.6215
YBL059W	YBL059W	unknown	20.4575	7.7268	12.4771	3.701	13.7739	3.6013	16.6375	3.6637	29.2574	6.7942	14.5123	3.7031
YBL060W	YBL060W	unknown	19.1511	7.2579	10.565	3.542	7.4588	3.7298	10.3268	3.5734	16.6835	6.5918	16.8772	3.431
YBL061C	SKT5	cell wall biogenesis	49.9841	6.3851	34.7442	6.0798	24.5604	6.2667	24.5519	6.3805	43.6233	5.9033	29.0476	6.2041
YBL062W	YBL062W	unknown	64.0717	8.9968	34.2074	8.4116	25.9581	8.6994	22.7335	8.9034	40.0499	8.2728	27.2178	8.825
YBL063W	KIP1	mitosis, spindle assembly	35.3055	8.2899	23.0552	7.7504	20.6428	7.9277	29.3884	8.2143	37.3019	7.5759	27.9532	8.0521
YBL064C	YBL064C	unknown	17.4435	6.9236	16.6673	6.2324	167.4883	6.8233	128.9965	6.909	96.8187	6.1615	137.706	6.4616
YBL065W	YBL065W	unknown	3.8662	4.421	NA	NA	9.6759	3.2066	16.2837	6.3161	26.7936	5.873	12.6549	3.2028
YBL066C	SEF1	transcription	71.609	7.7201	49.2484	7.3976	52.8641	7.7543	101.9849	8.0238	104.0576	7.2047	64.7239	7.4748
YBL067C	UBP13	protein degradation, ubiquitin-mediated	60.1515	6.9027	40.6489	6.5921	29.1056	6.7976	30.783	6.9335	52.5946	6.3862	33.784	6.6944
YBL068W	PRS4	pentose phosphate cycle	100.5387	6.6539	78.0207	6.5088	26.4356	6.498	43.6742	6.745	82.2926	6.1709	39.9467	6.4094
YBL069W	AST1	plasma membrane protein targeting	83.1874	4.7134	65.7809	4.6311	15.3895	4.5496	21.2634	4.7047	45.4132	4.3478	115.0719	4.6075
YBL070C	YBL070C	unknown	94.1584	6.7076	54.7888	6.4744	15.9129	3.2034	24.45	6.6467	42.6526	6.1554	99.6662	6.5035
YBL071C	YBL071C	unknown	27.3002	8.5202	14.5725	4.1332	3.1885	5.9443	9.9836	4.4167	13.5904	4.1357	12.7263	4.2443
YBL071W-A	KTI11	unknown	71.1225	5.9301	41.3509	5.6918	11.7621	2.8605	28.8141	5.9575	47.8688	5.4732	24.9518	5.7388
YBL072C	RPS8A	protein synthesis	1128.6598	6.1482	792.201	6.1502	89.8162	6.2127	296.3837	6.4134	529.5355	5.7851	302.5767	6.0876
YBL073W	YBL073W	unknown	25.1572	7.134	15.6111	3.3667	7.6999	3.7516	10.1925	3.6234	18.5496	6.6025	12.0489	3.5496
YBL074C	AAR2	mRNA splicing, MATa1	20.5424	6.9245	12.1741	3.3149	10.7663	3.3291	11.3426	3.3985	12.6242	3.2743	13.4682	3.3533
YBL075C	SSA3	ER and mitochondrial translocation	37.2012	5.7608	29.1592	5.476	19.0469	5.6212	16.6134	5.7061	23.6329	5.3088	21.4004	5.6253
YBL076C	ILS1	protein synthesis	197.407	6.6335	129.6176	6.5543	34.3579	6.5252	77.5876	6.8055	105.1536	6.1435	61.887	6.3609
YBL077W	YBL077W	unknown	162.6128	8.5411	102.8321	8.3463	15.2281	4.1442	59.5394	8.6589	69.1391	7.8506	41.2157	8.2202
YBL078C	AUT7	autophagy	79.0907	6.0252	62.6297	5.8759	111.6774	6.1869	91.9203	6.2601	124.8151	5.6385	99.9477	5.8564
