# S. cerevisiae transcriptome, from Holstege et al., Cell 95:717-728, 1998.
#
# orf: the open reading frame
# expr: the expression level
# hl: half life
# tfreq: transcriptional frequency
orf	expr	hl	tfreq
YJL014W	2.6	13	7.2
YDL143W	2.4	17	5.2
YJR064W	5.8	15	14
YDR188W	5.7	12	18.2
YJL111W	2.7	14	6.9
YJL008C	3.5	16	8.1
YLR307W	NA	NA	NA
YLR308W	NA	27	NA
YDR182W	1.2	23	1.9
YCR002C	2.7	34	3
YJR076C	1.1	16	2.6
YHR107C	1	19	2
YDL220C	0.1	NA	NA
YFR028C	1	11	3.4
YAR019C	0.2	24	0.4
YKL022C	0.6	22	1
YGL116W	0.6	16	1.3
YOR074C	0.4	12.5	1.4
YHR166C	0.3	NA	NA
YAL041W	0.4	16	1.2
YLR310C	1.3	48	1
YFR036W	0.7	9	2.5
YBL084C	0.4	25	0.7
YBR160W	2.2	23	3.7
YLR314C	1.5	19	2.8
YOR257W	1.8	25	2.6
YOL139C	15.6	14	40.1
YDR054C	0.6	26	0.8
YDL165W	2.2	15	5.3
YDR168W	1.2	17	2.6
YCR093W	0.9	38	0.8
YFL009W	1	14	2.8
YDR364C	0.8	15	2
YLR229C	5.3	13	14.5
YGL155W	0.6	11	2
YLR103C	0.7	13	1.8
YLR274W	1	23	1.6
YBR202W	0.7	21	1.2
YDL126C	10.2	19	19.8
YMR001C	0.9	13	2.6
YCR094W	0.3	41	0.3
YDL132W	1.2	30	1.5
YPR019W	0.6	17	1.2
YGL190C	0.6	18	1.2
YJL194W	0.4	20	0.8
YPL160W	4.8	12	14.6
YDL017W	0.3	17	0.8
YLR418C	0.6	17	1.2
YJR057W	1	12	2.9
YDL164C	1.1	16	2.7
YLR459W	1.2	15	3
YPR016C	5.3	13	15.5
YBR029C	2.1	18	4.4
YMR213W	0.2	NA	NA
YGL130W	1	26	1.5
YER061C	0.4	16	1.1
YMR168C	0.2	NA	NA
YPL228W	0.4	17	1.1
YDR301W	0.6	18	1.1
YLR115W	0.6	16	1.4
YCL064C	4.5	10	16
YLR098C	0.2	21	0.4
YGL206C	3.4	19	6.5
YER164W	0.8	16	2
YPL008W	0.4	33	0.5
YDR254W	0.1	21	0.1
YER026C	1.3	14	3.4
YGR157W	4.9	15	12.5
YNL192W	1.8	26	2.6
YBR038W	1	19	2
YBR023C	2.1	23	3.4
YLR330W	1.1	18	2.2
YJL099W	0.2	18	0.5
YMR198W	0.4	33	0.4
YOR349W	0.2	19	0.4
YPL241C	0.2	10	0.8
YMR138W	0.7	10	2.4
YOR028C	0.6	22	1
YEL061C	0.1	14	0.4
YDR022C	0.1	14	0.4
YJL158C	20.4	13	58.8
YNR001C	3.7	25	5.5
YCR005C	1.1	NA	NA
YPR001W	0.1	18	0.3
YIL035C	2.2	27	3.1
YOR061W	1.5	17	3.2
YGL019W	1.9	15	4.7
YOR039W	2.4	17	5.2
YLR133W	0.3	14	1
YBR135W	1.2	18	2.5
YNL298W	0.6	13	1.5
YGR108W	1.6	11	5.5
YPR119W	1.1	13	3.2
YDL155W	1.1	12	3.3
YLR210W	0.6	20	1.1
YPR120C	0.9	9	3.4
YGR109C	0.4	13	1.3
YGR167W	2	23	3.3
YGL215W	1.7	49	1.2
YMR199W	0.6	17	1.2
YPL256C	1.2	10	4.8
YAL040C	1.1	16	2.6
YOR250C	0.4	18	1
YMR012W	3.1	11	10.4
YBR109C	8.3	41	7.6
YFR014C	0.4	18	0.9
YOL016C	0.6	35	0.6
YML057W	0.7	33	0.8
YLR433C	0.3	13	1
YKL190W	5.3	17.5	11.5
YAL058W	0.6	13	1.7
YNL225C	0.4	15	1.2
YLL050C	15.4	21	26.4
YDL145C	2.8	20	5.3
YBR003W	0.8	15	1.9
YNR041C	1.7	16	3.9
YOL096C	0.3	46	0.3
YDR204W	0.4	20	0.8
YGR255C	1	19	2
YBL045C	2.8	27	3.8
YNL336W	1.9	19	4.4
YNR075W	0.1	NA	NA
YGL263W	0.1	NA	NA
YML132W	3	16	6.9
YFL062W	3	21	5.4
YJR161C	1.3	18	2.9
YGR295C	4.5	20	8.3
YDL248W	0.2	27	0.3
YHL048W	0.8	20	1.5
YKL219W	0.6	15	1.4
YOR316C	0.7	15	1.7
YPL172C	0.9	11	3
YPL132W	0.7	12	2.2
YLR038C	5.8	16	13.8
YGL191W	2.2	27	3.1
YML129C	1.3	22	2.3
YER141W	2.7	21	4.6
YLL009C	4.2	16	9.5
YGR062C	0.6	11	1.9
YGL187C	4.9	17	10.7
YNL052W	3.1	21	5.5
YIL111W	1.3	18	2.6
YHR051W	4	20	7.4
YMR256C	3.8	21	6.9
YLR395C	5.2	14	13.9
YDL067C	4.8	17	10.7
YOR303W	4.5	22	7.6
YJR109C	0.8	25	1.2
YDR155C	30.6	17	65.1
YML078W	3.5	15	8.5
YLR216C	5.3	34	5.7
YJR032W	1.5	14	3.7
YNR028W	0.7	16	1.6
YJL172W	0.7	13	2
YNL130C	2.1	21	3.7
YDL142C	0.4	23	0.7
YGR218W	1.3	42	1.2
YLR429W	1.5	23	2.5
YOR031W	0.4	26	0.6
YNL027W	0.6	20	1.1
YGL238W	1.7	21	2.9
YNR010W	0.3	33	0.4
YKL049C	0.6	15	1.5
YBR036C	2.7	31	3.2
YOL007C	0.9	12	2.8
YDR256C	NA	17	NA
YMR094W	0.1	17	0.4
YMR078C	0.4	19	0.9
YPL018W	0.1	14	0.4
YHR191C	1	14	2.7
YDR151C	0.6	52	0.4
YLR136C	0.4	42	0.4
YKL139W	0.4	NA	NA
YJL006C	0.8	14	2.1
YML112W	0.4	18	0.8
YBR291C	1.2	14	3.2
YPR124W	4.3	10	16
YHR175W	1	17	2.3
YLR411W	0.3	15	0.9
YCR054C	0.2	23	0.4
YOL145C	0.4	16	1.1
YLR286C	10.4	14	28.1
YGR088W	0.1	24	0.3
YMR264W	2.7	16	6.3
YHR053C	48.9	22	81.5
YHR055C	50.5	22	85.7
YGL166W	0.7	27	0.9
YEL027W	27.6	16	63.9
YPL177C	2.2	10	8
YMR240C	0.6	16	1.3
YNL286W	0.3	19	0.6
YCL007C	0.1	38	0.1
YGL027C	0.4	11	1.4
YGR036C	1.6	13	4.3
YKL096W	4.3	9	17.4
YML054C	0.4	16	1.1
YNL111C	2	8	9.1
YJR048W	2.6	10	10
YOR037W	0.2	22	0.5
YAL039C	1.8	11	6.4
YEL039C	0.9	19	1.7
YMR032W	0.6	15	1.5
YHR057C	2.2	25	3.4
YDR304C	7.1	16	16.4
YJL005W	0.3	34	0.4
YAL012W	8.9	21	15.9
YGR155W	9.4	12	29.5
YOR065W	0.9	NA	NA
YKL087C	1.2	24	1.9
YML070W	1.7	20	3.2
YFL053W	NA	20	NA
YIR027C	NA	NA	NA
YIR029W	1.5	12	4.7
YIR032C	0.1	21	0.2
YIR028W	0.2	18	0.4
YJR152W	0.4	14	1.3
YIR031C	0.2	28	0.3
YKR034W	NA	NA	NA
YIR023W	0.7	15	1.6
YNL314W	0.2	15	0.6
YJR150C	NA	NA	NA
YHR028C	1	32	1.1
YML113W	2.4	13	6.8
YGR092W	0.3	27	0.5
YPR111W	0.2	21	0.3
YDR052C	0.4	18	1.1
YML110C	2.5	35	2.6
YMRO17W	NA	44	NA
YPL119C	0.2	33	0.2
YNL112W	11.5	7	61.5
YGL078C	5.7	9	22.6
YOR046C	4.3	13	12.3
YNR038W	1	11	3.4
YKR024C	1.3	14	3.6
YHR169W	1	10	3.6
YLR276C	2.5	11	8.2
YKL149C	0.7	11	2.1
YHR144C	1.2	9	5.4
YIR030C	0.1	15	0.1
YOL149W	1.3	12	4.1
YPL194W	0.2	42	0.2
YER143W	0.6	24	0.9
YOL053C	2	NA	NA
YMR173W	0.4	22	0.8
YOL076W	0.3	14	0.9
YOR204W	2.6	16	6
YHR019C	5.4	15	13.9
YFL001W	1	11	3.4
YAL013W	0.6	13	1.7
YBR201W	1.1	23	1.7
YIL049W	0.8	32	0.9
YOR030W	0.4	20	0.9
YMR238W	3	18	6.1
YOR236W	0.7	10	2.6
YDL160C	1.1	25	1.6
YGR227W	0.7	11	2.1
YGR113W	0.4	16	1.1
YPL049C	1.2	10	4.6
YDR480W	0.3	45	0.3
YPL266W	2.1	10	7.9
YDR263C	0.1	NA	NA
YLR129W	2.4	10	9.1
YPL265W	1.3	23	2.3
YOL021C	1.7	15	4.1
YDR403W	0.1	31	0.1
YDR402C	NA	23	NA
YIR004W	1.5	16	3.3
YDL174C	1.9	13	5.5
YER179W	0.1	15	0.3
YHR164C	0.3	13	0.9
YIL150C	0.2	13	0.5
YOR005C	0.2	NA	NA
YLL001W	0.4	16	1.2
YKL213C	1.1	16	2.6
YDR069C	0.2	27	0.3
YGL240W	NA	NA	NA
YHR044C	0.1	NA	NA
YHR043C	0.7	NA	NA
YNL001W	0.7	13	2.1
YDR068W	1.2	22	2.2
YNL186W	3.6	9	14.3
YIL010W	1	20	1.8
YER088C	2.1	18	4.5
YJL090C	0.3	14	0.9
YPR175W	0.3	26	0.5
YBR278W	0.8	19	1.5
YKL191W	3.4	13	9.9
YLR172C	1.8	14	5
YDR294C	1.1	23	1.9
YPR183W	1.2	11	4.1
YDR284C	1.6	18	3.2
YLL018C	5.5	18	11.3
YLL008W	3.3	10	11.6
YAL026C	0.7	19	1.4
YMR276W	3.6	18	7.4
YPR017C	0.6	16	1.3
YGL043W	0.8	19	1.6
YLR348C	0.9	12	2.8
YDL101C	0.4	26	0.7
YGL061C	0.4	29	0.5
YBR208C	0.9	19	1.6
YHL016C	0.1	23	0.3
YBR252W	4.7	13	13.5
YKR054C	0.7	NA	NA
YDR424C	3.1	19	6.1
YHR068W	7.9	15	19
YAL059W	3.4	8	14.6
YEL030W	0.1	11	0.3
YDR446W	NA	NA	NA
YBL043W	0.3	17	0.8
YHR132C	2.8	21	5.1
YBL001C	5.6	17	12.2
YMR128W	1.3	13	3.8
YJR137C	0.6	13	1.4
YDR125C	NA	NA	NA
YLR390W	0.8	18	1.6
YBR065C	0.1	18	0.3
YBL101C	0.8	19	1.5
YLR228C	0.4	NA	NA
YJL201W	0.3	NA	NA
YJR106W	0.2	13	0.6
YHL030W	0.6	19	1
YOR092W	0.4	11	1.8
YLR436C	0.8	12	2.4
YBR176W	0.6	12	1.9
YER176W	0.9	22	1.5
YBR078W	6.8	13.5	18.6
YHL043W	NA	NA	NA
YIL146C	0.2	31	0.3
YLR299W	0.6	21	1
YNR030W	1.6	14	4.3
YKR076W	0.2	15	0.6
YMR176W	0.4	NA	NA
YML048W	1.6	14	4.1
YLR443W	0.9	25	1.4
YBR076W	NA	25	NA
YKR004C	0.2	14	0.7
YAL003W	19.1	14	52.3
YOR133W	23.9	14	62.7
YDR385W	23.1	13	63.6
YPL037C	22	15	54.4
YHR193C	26.7	17	59.4
YNL327W	10.4	10	40.3
YLR284C	0.3	12	1
YOR180C	0.2	21	0.4
YPL046C	0.4	11	1.4
YKL048C	0.2	NA	NA
YJL196C	6.5	13	18.9
YGL200C	8.1	16	18.3
YFL048C	2	31	2.3
YLR083C	3.1	11	10.4
YDR040C	NA	NA	NA
YDR039C	4.9	19	9.8
YDR038C	1.1	13	3.3
YNL084C	1.7	17	3.6
YGR254W	17.1	13	48.1
YHR174W	61.1	17	134.7
YHR123W	0.8	13.5	2
YDR414C	0.6	18	1.1
YBL040C	3.7	23	6.1
YGR175C	8.4	11	29.2
YPL028W	9.1	12	27.5
YHR007C	14.7	16	34
YMR208W	1.1	15	2.8
YNR043W	3.5	12	11.2
YMR202W	12.3	15	29.8
YJL167W	5.5	17	11.8
YNL280C	2.1	12	6.7
YGR060W	20.5	13	58.8
YLR056W	14	12	42.5
YGL012W	6.6	17	14.2
YMR015C	2.1	12	6.3
YML008C	4.3	14	11.3
YHR072W	1.6	12	4.6
YMR220W	1.1	23	1.8
YHR190W	4	21	7.2
YML130C	2	30	2.5
YOR393W	NA	23	NA
YPL281C	NA	NA	NA
YCR075C	0.8	25	1.2
YGR029W	2.1	12	6.4
YML012W	13.2	20	24.7
YNL125C	1	21	1.8
YDR363W	0.3	18	0.8
YHR154W	0.6	12	1.8
YJL076W	0.4	15	1.2
YGR098C	0.6	NA	NA
YJR017C	2	18	4.2
YLR233C	0.2	15	0.6
YLR318W	0.2	15	0.5
YGR207C	0.8	37	0.8
YBL019W	0.2	25	0.4
YDR518W	0.7	13	2
YLR300W	23.9	13	67.2
YDR261C	1.7	14	4.5
YDL087C	NA	14	NA
YOR033C	0.7	24	1
YJL085W	0.1	NA	NA
YJL168C	0.3	17	0.6
YOR317W	1.9	37	1.9
YER015W	0.1	NA	NA
YIL009W	0.8	13	2.2
YMR246W	5.5	13	16.1
YFR019W	0.3	NA	NA
YDL045C	0.4	23	0.8
YDR021W	0.9	9	3.9
YJL157C	2.6	9	11.2
YMR052W	0.1	20	0.3
YKL182W	8.4	11	27.9
YPL231W	6.3	13	17.9
YBR041W	1.7	17	3.6
YBR222C	0.6	17	1.2
YKL060C	74.1	16	167.9
YLR377C	NA	NA	NA
YJL155C	0.4	71	0.2
YMR277W	0.7	10	2.3
YPR062W	12.9	16	30.1
YER056C	14.9	12	45
YER060W	0.3	17	0.8
YER060W	0.3	NA	NA
YOR388C	0.1	14	0.4
YCR028C	0.4	26	0.7
YMR058W	2.5	13	7.2
YMR319C	1.3	15	3.4
YFL041W	1.1	21	1.9
YPR104C	0.6	15	1.3
YBR040W	0.1	NA	NA
YCR089W	0.4	22	0.7
YNL325C	0.4	14	1.1
YJR093C	0.3	16	0.8
YER032W	0.3	20	0.6
YIL131C	0.3	12	1.1
YNL068C	0.4	13	1.5
YMR306W	NA	NA	NA
YAR050W	0.2	20	0.4
YKR102W	0.2	45	0.1
YIR019C	NA	20	NA
YHR211W	0.3	33	0.4
YER108C	0.6	21	0.9
YAL063C	NA	NA	NA
YBR008C	1.7	38	1.6
YIL134W	0.3	14	1
YIL098C	1.1	17	2.6
YMR020W	0.7	18	1.3
YDR110W	0.3	11	1.3
YGR267C	3	19	6.1
YKR009C	NA	NA	NA
YNL135C	21.3	28	28
YDR519W	4.4	13	12.6
YML074C	5.2	15	12.9
YLR449W	3.5	13	9.9
YLL043W	1.2	21	2.2
YLR214W	2.4	13	6.7
YKL220C	0.2	20	0.4
YOR381W	0.2	NA	NA
YNR060W	NA	11	NA
YOR384W	NA	14	NA
YLL051C	0.9	44	0.8
YOL152W	0.1	14	0.4
YCL026C	0.1	22	0.2
YLR060W	7.6	19	15.1
YFL022C	3.8	14	10
YJL221C	0.2	19	0.5
YBR207W	2.8	34	3.1
YER145C	3.4	9	13.7
YBL042C	2.5	10	9.4
YPL262W	3.1	22	5.2
YHR128W	5.5	12	17
YBR021W	0.8	16	1.9
YCL027W	0.6	13	1.4
YMR232W	0.2	19	0.4
YBL016W	1	12	3.1
YGL254W	0.3	17	0.7
YBR179C	0.1	19	0.3
YLR088W	1	12	3.1
YOR178C	0.1	29	0.1
YBR020W	0.2	NA	NA
YBR019C	NA	NA	NA
YOL051W	1.6	15	3.9
YLR081W	0.3	9	1.2
YDR009W	NA	26	NA
YPL248C	NA	NA	NA
YBR018C	0.1	18	0.3
YML051W	0.8	16	1.8
YER027C	0.8	NA	NA
YKR039W	1.9	25	2.8
YHR089C	14.4	10	53.8
YFL021W	0.4	13	1.4
YCL011C	7.2	25	10.8
YOR260W	4.7	15	11.9
YNL062C	1.6	10	5.9
YER025W	5.8	12	18.3
YJL125C	1.8	11	6.4
YGR083C	2	14	5.1
YDR211W	2.2	15	5.6
YLR291C	2.1	15	5.2
YGL195W	1.9	26	2.7
YDR283C	0.7	26	0.9
YFR009W	2.8	18	5.7
YKR026C	2.4	14	6
YEL009C	22.3	14	59.4
YGR252W	0.8	14	2.2
YPL075W	0.7	25	1
YNL199C	1.2	13	3.5
YMR125W	1.1	12	3.2
YDL226C	1.9	14	5.1
YDR019C	2.8	17	6
YAL044C	10.6	16	24.5
YOR120W	0.3	46	0.3
YEL042W	1.3	10	4.9
YOR375C	7.7	27	10.5
YDL215C	1.9	34	2
YAL062W	0.2	18	0.4
YER136W	4.3	24	6.7
YOR355W	2.9	10	11.1
YJR031C	0.6	13	1.7
YEL022W	0.9	16	2.2
YJR040W	0.3	16	0.8
YKL104C	2.2	26	3.3
YHR061C	0.3	NA	NA
YDR309C	1.8	36	1.9
YIR024C	0.4	15	1.2
YLR200W	0.6	13	1.7
YKL173W	0.6	40	0.6
YLL065W	NA	NA	NA
YDR507C	1.3	17	2.9
YDR505C	0.8	25	1.1
YBR045C	NA	14	NA
YER054C	NA	NA	NA
YDR096W	0.3	20	0.7
YCR098C	0.1	NA	NA
YEL011W	0.2	80	0.1
YER133W	4.2	17.5	9.2
YMR311C	1.2	21	2.2
YDL207W	0.7	15	1.8
YER107C	1.7	16	4
YKR058W	0.3	42	0.3
YJL137C	0.3	16	0.9
YCL040W	3.7	36	3.8
YPR035W	14.6	14	38.3
YER040W	0.2	25	0.4
YOR168W	3.9	13	11.5
YML004C	2.8	16	6.5
YDR272W	2.1	14	5.9
YER122C	2.6	22	4.4
YOR040W	0.3	11	1
YPL091W	3.8	15	9.2
YLR342W	6.5	14	17.2
YGR032W	0.9	30	1.1
YDL171C	2.9	24	4.5
YEL046C	5.2	14	14.1
YHR183W	15.5	13	45
YGR256W	0.2	17	0.6
YDR508C	7	14	19.2
YCR034W	6.1	14	15.7
YGL225W	10.7	14	27.6
YHL031C	0.7	16	1.5
YHR005C	2.2	11	7.6
YER020W	1.2	16	2.9
YDL022W	7.6	15	18.7
YOL059W	1.2	14	3.1
YPR160W	0.6	17	1.1
YGR216C	0.7	16	1.5
YGL142C	0.4	14	1.3
YPL076W	0.2	14	0.7
YDR331W	0.6	16	1.4
YKL152C	32.3	19	64
YDL021W	0.1	16	0.3
YOL056W	0.9	11	3
YIL053W	24.9	11	84.9
YDL035C	0.7	27	0.9
YOR357C	1.3	21	2.4
YPL223C	NA	23	NA
YOL151W	3.6	13	10.4
YHR104W	1	104	0.4
