orf	expr.no.pheromone	expr.with.pheromone
YGR289C	1.04	2.09
YLR091w	25.65	24.81
YLR197W	698.15	699.66
YML061C	8.12	6.31
YPL079W	728.96	708.59
YPR017C	1.8	3.85
YPR005C	3.32	15.75
YPL168W	2.8	3.78
YPL119C	4.09	4.33
YPL126W	108.33	90.77
YOR328W	27.62	18.12
YGR135W	16.23	21.65
YER189w	103.36	29.25
YGL148W	181.96	183.6
YJL075C	36.18	17.67
YLR204W	0.58	2.6
YLR283W	0.57	2
YLL028w	100.3	55.06
YPL044C	19.83	24.17
YPL053C	58.57	59.22
YPR142C	0.8	4.45
YPR114W	151.14	97.71
YPR152C	10.97	8.51
YPR161C	16.08	22.08
YPR115W	4	7.18
YMR325W	9.88	4.98
YIL004C	1.95	3.88
YCR044c	54.06	50.38
YER052c	401.62	258.07
YJL025W	7.66	8.78
YHL028W	1.2	4.43
YLR186W	5.24	4.67
YLR378C	764.62	463.07
YMR066W	3.91	5.05
YPL018W	23.97	13.3
YPR130C	1.62	7.48
YPR134W	0.8	3.21
YPR163C	147.44	317.92
YPR155C	11.41	14.22
YPR194C	1.84	4.43
YIL082W-A	42.7	72.16
YGL166W	0.5	2.17
YIL136W	0.73	1.62
YAR042W	18.32	12.79
YBL058w	44.97	37.84
YIL157C	8.42	10.13
YAL011W	3.34	5.13
YKL131W	0.81	4.02
YLR332W	58.71	89.45
YLL004w	9.76	7.14
YNL067W	1038.94	762.98
YDR510W	6.02	8.79
YNL222W	2.17	3.45
YOL104C	9.46	12.74
YDR539W	62.33	60.93
YOR014W	92.19	56.46
YAL064W	0.84	3.06
YAL033W	3.32	4.73
YAR015W	7.72	7.57
YAR071W	2067.25	550.73
YIR016W	9.67	9.56
YAL021C	71.94	31.86
YKL147C	20.22	12.23
YLR341W	1.68	0.84
YLL001w	37.95	17.87
YER176w	22.42	12.16
YOL133W	4.6	10.41
YOL038W	33.64	36.46
YOL044W	6.24	6.59
YOL027C	58.73	63.29
YOR133W	3837.9	1337.57
YGL121C	0.93	1.51
YIL119C	8.65	6.93
YBR002c	9.11	12.85
YBR074w	62.09	41.9
YIR032C	2.03	3.53
YBL060w	3	4.61
YKR083C	20.13	8.43
YLR453C	4.44	4.23
YLR139c	17.92	16.18
YNL019C	4.65	4
YOL118C	3.19	1.93
YOR016C	50.38	25.06
YOR026W	13.9	7.13
YOL112W	12.72	18.03
YOR112W	7.43	5.29
YAL008W	6.9	5.78
YAR047C	0.4	1.07
YBR037c	5.09	5.52
YBR093c	1841.8	614.9
YJL208C	16.06	17.99
YBR001c	8.43	6.69
YKR045C	8.61	10.44
YML097C	6.86	7.85
YLR144c	24.66	20.5
YGL207W	158.48	123.03
YOR015W	47.91	46.4
YOR087W	35.1	27.92
YOR063W	5297.15	3150.58
YOR128C	10.56	10.08
YOR195W	7.84	5.3
YGL088W	1.29	1.32
YIL090W	69.27	44.61
YBR191w	758.23	787.15
YBR177c	119.35	103.71
YJL195C	14.58	12.01
YBR021w	11.42	5.72
YLL042c	8.33	5.63
YML066C	1.58	1.89
YLR289W	5.54	6.24
YNR020C	125.57	117.03
YOR045W	7.06	8.6
YOR185C	22.03	6.18
YOR246C	64.63	57.35
YOR161C	25.28	15.49
YOR321W	26.23	9.36
YBR014c	3.48	4.76
YBL100c	207.4	176.41
YBR160w	8.39	6.64
YBR297w	13.91	9.46
YJL167W	95.92	127.47
YBR114w	9.43	8.22
YLR011w	0.58	2.88
YML005W	6.69	9.23
YLR274W	47.67	42.74
YGL013C	43.41	19.67
YOR189W	0.68	1.62
YOR232W	40.51	51.12
YOR193W	11.5	10.45
YPL260W	30.53	33.37
YOR361C	517.64	332.11
YGL069C	11.3	16.65
YIL071C	7.46	4.54
YCR016w	7.23	7.23
YBR273c	7.49	8.51
YJL158C	956.62	626.43
YBR212w	35.3	15.45
YLR074c	9.1	7.72
YMR005W	6.02	7.14
YLR429W	90.28	139.51
YPL130W	2.39	0.57
YOR210W	2.22	1.7
YOR367W	2.23	3.94
YPL264C	4.65	2.51
YOR355W	204.53	306.81
YPL164C	5.08	4.61
YBR193c	7.27	6.89
YBL071c	1.26	2
YBR265w	37.43	37.29
YCR052w	38.92	33.92
YJL079C	42.72	14.7
YBR237w	18.35	5.64
YLR066w	4.72	3.66
YMR094W	8.03	3.33
YLR424W	5.05	3.35
YGR162W	547.19	277.65
YOR364W	0.47	0.69
YOR358W	1.57	2.71
YPL203W	15.77	18.43
YPL120W	3.99	5.11
YPL176C	28.67	18.24
YGL037C	10.33	7.44
YIL042C	5.59	4.58
YEL018w	3.1	2.54
YCR012w	6333.99	3150.58
YJL118W	7.24	5.46
YCL025c	96.8	10.08
YLR164W	1.88	2.52
YMR083W	168.32	72.61
YMR008C	98.28	55.59
YPL078C	56.92	63.57
YOR343C	1.32	51.66
YPL220W	3362.92	2970.73
YPR004C	41.65	37.28
YPL247C	13.32	11.38
YPR003C	10.93	6.33
YBL025w	2.06	2.63
YCL049c	12.46	11.24
YEL040w	682.51	434.17
YJL006C	3.46	3.94
YCR077c	210.74	192.51
YLR179C	27.54	29.04
YMR191W	37.24	28.83
YMR078C	12.16	6.01
YHR027C	339.23	310.21
YPR038W	3.11	5.07
YPL163C	56.33	25.32
YPR035W	151.08	180.64
YPR072W	24.79	29.8
YPL045W	14.89	11.25
YGL015C	0.62	0.69
YIL021W	11.1	13.16
YER062c	90.67	18.12
YER044C-A	2.49	3.12
YJL038C	0.46	0.52
YEL030w	13.52	3.59
YLR235C	1.39	2.56
YMR244W	1.2	1.35
YMR106C	6.88	5.84
YPL041C	6.16	5.08
YPR096C	7.99	4.79
YPR154W	38.4	30.45
YPR128C	0.8	1.84
YPR162C	8.03	10.11
YPR185W	33.74	21.78
YEL076c	178.61	36.76
YBR010w	244.72	102.1
YEL029c	13.45	10.91
YER064c	59.7	40.54
YJR043C	1.72	3.43
YER070w	375.66	8.45
YLR268W	6.73	7.64
YMR201C	2.07	3.69
YMR192W	8.16	11.46
YHR098C	136.42	252.9
YPR146C	4.47	5.45
YPR131C	0.97	4.53
YPR140W	7.66	13.67
YPR171W	4.64	8.25
YPR181C	342.87	501.6
YIL118W	30.56	17.29
YEL026w	66.68	92.16
YAL015C	1.47	1.98
YIL168W	0.83	2.36
YBL020w	36.53	11.4
YKL137W	4.7	4.6
YLL018c	808.5	763.19
YNL086W	1.59	2.31
YNL040W	33.51	25.48
YOL159C	0.48	1.7
YOL047C	0.66	2.55
YOR059C	10.81	11.51
YNL020C	37.63	19.45
YMR085W	8.66	4.84
YFL067W	1355.4	521.13
YAL020C	5.67	4.1
YBL080c	7.52	4.99
YIL146C	14.19	7.69
YIL092W	4.18	4.54
YKR004C	8.06	6.46
YLR392C	4.15	4.34
YLR045c	13.29	7.58
YNL007C	176.55	160.52
YOR052C	6.52	14.61
YOR062C	2.11	1.03
YOL058W	197.87	176.88
YOL158C	82.41	45.89
YNL243W	73.88	49.43
YFL061W	5.37	2.19
YER019C-A	5.51	10.82
YBR036c	168.29	100.5
YIR015W	6.01	6.93
YBR148w	0.67	2.18
YKR073C	10.42	4.99
YKR052C	7.63	6.19
YLR120c	116.22	208.6
YNL043C	20.51	15.17
YNL004W	32.7	29.35
YOR094W	6.4	6.49
YOR096W	899.64	844.12
YOR198C	467.78	523.52
YOL117W	8.37	6.14
YNL267W	14.51	8.7
YBL016w	14.53	135.83
YBR138c	6.33	4.94
YJL194W	26.98	18.33
YIL056W	38.03	13.79
YKR046C	4.24	7.13
YML115C	79.84	90.38
YLR176C	9.02	9.46
YNR027W	9.5	9.18
YOR218C	7.25	16.06
YOR174W	6.73	6.91
YOR134W	25.33	24.16
YOL015W	1.49	0.93
YNL023C	25.81	18.05
YGL237C	13.35	7.04
YER057c	104.18	94.25
YBR246w	34.57	28.72
YJL211C	8.33	7.7
YBR263w	74.43	24.19
YLL014w	4.17	2.2
YKR088C	38.51	16.53
YLR253W	41.85	38.61
YNR005C	3.43	5.48
YNR051C	199.47	179.1
YOR257W	1.12	2.25
YOR228C	7.28	5.39
YOR334W	7.89	6.78
YOR147W	32.85	28.39
YOL089C	9.03	5.41
YIL089W	1.99	0.85
YBR057c	6.46	7.06
YBR250w	47.18	17.6
YJL146W	15.04	11.69
YIL014W	33.25	15.5
YLL041c	9.53	10.22
YMR011W	890.7	459.97
YLR319C	12.97	11.17
YNR054C	8.79	8.34
YOR325W	8.78	12.17
YOR278W	3.47	3.87
YOR237W	1.12	0.6
YOR154W	19.12	18.51
YOR038C	20.6	6.5
YGL053W	9.07	331.9
YER087C-A	12.7	13.64
YEL037c	53.59	43.73
YJL179W	0.72	1.49
YCR023C	24.81	7.57
YLR062c	47.53	11.48
YLR097c	8.39	6.21
YLR401C	44.34	55.56
YNR046W	8.84	10.3
YPL122C	18.04	17.56
YPL234C	167.13	142.99
YOR340C	27.37	32.56
YPL201C	5.61	1.39
YOR350C	13.56	9.01
YOR098C	21.67	10.87
YIL059C	1.15	1.94
YBR141c	3.88	4.3
YCR098c	32.88	4.59
YJL108C	22.64	62.58
YGR250C	0.81	1.86
YLR046c	0.43	0.82
YMR064W	14.51	16.93
YLR386W	92.98	36.15
YPL112C	16.4	15.69
YPL238C	41.44	56.23
YPL237W	129.08	172.91
YOR301W	39.06	35.56
YPL265W	203.35	72.64
YOR335C	215.87	90.55
YGR036C	14.01	7.6
YER134c	6.11	5.97
YGL246C	18.29	14.6
YJL142C	13.67	10.61
YEL020c	5.71	5.2
YLR156W	2.69	3.61
YLR209C	14.51	19.92
YML054C	3.98	2.78
YPL102C	5.43	5.29
YPL091W	74.24	68.48
YPR062W	13.14	23.42
YPL157W	13.04	14.62
YPR045C	7.79	6.11
YPL104W	18.67	18
YPL125W	12.87	6.47
YIL027C	1.83	2.41
YCL061c	2.3	1.2
YEL042w	289.2	175.06
YJL053W	6.62	9.6
YGR292W	1.08	2.39
YLR093c	3.03	3.82
YMR155W	20.12	8.98
YML035C	79.39	63.62
YPL069C	9.33	9.26
YPR050C	0.78	3.4
YPR009W	12.13	12.26
YPL145C	449.07	320.1
YPL070W	7.04	6.46
YPL036W	1291.83	126.46
YGR136W	32.21	39.49
YFL032W	300.04	81.26
YGL126W	36.49	14.25
YJL067W	0.73	2.63
YER124c	47.66	12.93
YLR217W	8.08	4.02
YLR307W	0.38	0.66
YMR198W	5.67	59.25
YPL038W	1.3	2.06
YPL049C	34.91	49.93
YPR149W	439.46	188.29
YPR139C	10.89	11.79
YPR157W	5.39	4.79
YPR179C	6.87	6.1
YPR204W	1211.43	459.91
YDR276C	46.12	14.85
YCR043c	9.62	12.41
YER054c	0.82	0.59
YJL014W	270.5	266.69
YHL027w	33.24	22.59
YLR192C	13.71	26.91
YMR258C	15.68	12.98
YMR089C	70.1	80.29
YPL015C	47.86	23.26
YPR153W	2.07	3.85
YPR183W	113.67	213.55
YPR173C	14.77	29.38
YPR156C	73.87	77.6
YGL165C	0.43	1.79
YIL135C	8.45	10.9
YBL095w	12.18	7.24
YBL055c	53.58	31.8
YIL152W	9.36	5.66
YMR006C	40.74	9.6
YLR245C	6.6	5.94
YLR355C	3020.14	2017.85
YLR002c	56.54	62.42
YNL056W	7.13	9.37
YDR525W	1.65	5
YOL162W	15.37	11.94
YOL086C	5994.4	3150.58
YGL190C	109.52	93.05
YHR214W-A	28.22	13.55
YAL046C	3.37	5.82
YAR023C	1.84	1.41
YAR031W	8.89	116.42
YBL098w	19.11	16.12
YIR021W	7.77	11.07
YAR044W	58.71	38.29
YLR292C	5.72	7.76
YLR360W	28.12	12.75
YLR006c	23.23	22.86
YFL034W	24.97	12.4
YOL109W	42.54	160.64
YOL032W	0.65	0.94
YOL043C	57.64	24.87
YOL019W	107	112.74
YAL063C	24.75	7.23
YGL118C	0.81	1.95
YIL117C	20.15	107.87
YBR011c	283.93	383.53
YBR110w	172.05	82.92
YIR035C	26.46	23.97
YBL051c	8.66	7.72
YLR370C	6.81	6.45
YLR459W	58.35	24.35
YLR143w	20.78	15.68
YNL010W	79.94	85.72
YOL052C-A	0.42	1.45
YOR021C	22.85	31.25
YOR049C	0.81	0.81
YOL070C	9.52	19.23
YBR218c	292.99	79.8
YAR020C	1.77	2.44
YBR039w	3.27	5.5
YBR126c	75.31	59.39
YJL203W	3.32	4.61
YBR017c	43.97	26.5
YLR363C	14.79	11.71
YML083C	0.5	0.7
YLR149c	5.62	2.27
YGL201C	56.15	42.41
YOR029W	0.45	1.05
YOR095C	54.44	90.69
YOR084W	36.31	17.99
YOR132W	12.96	16.31
YBR115c	24.32	10.01
YGL087C	2.19	3.51
YIL088C	85.58	33.03
YBR213w	5.15	6.49
YBR182c	5.97	5.85
YJL192C	19.83	30.72
YBR094w	8.33	5.21
YLR434C	0.45	1.29
YML062C	3.97	5.23
YLR299W	38.23	18.1
YNR040W	3.67	4.11
YOR072W	1.38	3.28
YOR202W	4.88	6.51
YOR261C	26.91	31.86
YOR231W	23.95	26.11
YDR128W	34.3	19.59
YBR052c	10.13	10.74
YBL096c	8.99	6.73
YBR175w	9.74	6.8
YCL048w	0.55	0.78
YJL145W	10.86	17.27
YBR133c	54.85	37.09
YML078W	21.53	15.76
YMR027W	58.4	34.41
YLR277C	38.15	22.86
YGR047C	16.51	8.86
YOR199W	4.07	1.4
YOR283W	10.87	9.79
YOR242C	6.73	2.91
YPL258C	7.75	4.95
YDR104C	7.92	4.74
YGL058W	15.59	23.81
YIL069C	666.15	712.48
YCR047c	17.54	11.16
YBR287w	192.38	128.64
YJL148W	26.79	39.52
YBR216c	10.59	4.71
YML033W	6.66	4.01
YMR010W	86.54	57.17
YML088W	39.52	37.53
YPL129W	12.49	20.62
YOR235W	0.57	0.85
YOR383C	40.33	23.07
YPL244C	46.05	37.47
YOR359W	69.01	67.02
YEL031w	3.24	3.37
YBR197c	13.97	14.49
YBL062w	10.05	19.76
YBR267w	12.55	17.37
YCR066w	5.24	4.03
YJL068C	10.08	7.89
YBR276c	79.67	40.26
YMR073C	1.51	2.4
YMR111C	0.56	1.9
YLR440C	13.82	13.32
YGR188C	5.33	2.39
YOR366W	0.67	0.68
YOR391C	0.4	0.73
YPL193W	16.35	9.72
YPL109C	5.77	4.46
YDR407C	19.13	8.28
YGR206W	7.14	4.42
YIL041W	68.08	87.24
YEL009c	1234.49	930.14
YCR057c	122.91	106.27
YJL097W	70.53	43.65
YCR026c	1.41	3.14
YMR042W	9.1	11.79
YMR097C	2.17	2.71
YMR032W	5.73	7.83
YPL077C	0.51	0.69
YPL278C	1.69	2.77
YPL178W	11.36	17.05
YPR040W	4.77	3.92
YPL219W	8.36	5.26
YGL062W	36.7	12.31
YCL034w	10.8	15.06
YBL021c	2.74	2.72
YCL031c	10.4	12.11
YEL036c	98.82	101.08
YJR007W	120.62	135.57
YCR106w	30.17	14.9
YMR147W	3.87	4.83
YMR204C	1.47	3
YMR154C	9.53	6.24
YHR035W	2.78	1.84
YPR039W	1.01	2.13
YPL159C	24.76	23
YPR041W	244.82	229.84
YPR088C	42.99	65.17
YEL077c	870.86	332.82
YGL010W	5.7	5.43
YIL019W	4.41	4.34
YER074w	659.44	655.29
YER059w	7.21	6.84
YJL037W	0.38	0.49
YEL011w	5.79	4
YMR159C	0.56	2.43
YMR251W	2.97	0.69
YMR108W	843.82	458.09
YPL033C	0.4	0.79
YPR098C	14.6	9.31
YPR165W	316.99	313.95
YPR129W	13.32	21.22
YPR169W	42.7	36.74
YHR158C	16.57	8.48
YEL067c	2.22	3.12
YBR012c	0.38	0.77
YER037w	10.23	5.72
YER081w	85.19	34.05
YJR060W	31.93	28.8
YER091c	1072.45	714.7
YMR238W	44.26	25.27
YMR212C	54.06	40.39
YHR102w	23.28	30.8
YPR166C	0.39	2.28
YPR143W	3	8.74
YPR191W	34.18	51.52
YPR198W	26.96	28.25
YGL131C	5.41	8.37
YIL106W	9.77	9.14
YAL012W	585.04	412.51
YIL165C	0.85	4.28
YBR015c	144.57	71.49
YLR308W	0.39	1.69
YLL012w	45.62	25.49
YNL081C	0.87	3.62
YNL029C	6.47	5.2
YOL143C	9.46	13.22
YOR006C	7.29	6.72
YOR088W	55.72	29.16
YNL008C	25.41	10.2
YBL088c	33.33	15.72
YFL065C	45.68	17.19
YAL013W	5.03	4.46
YBL019w	5.43	4.45
YIL142W	107.4	141.83
YIL091C	10.3	7.95
YLR194C	52.34	66
YLR394W	10.33	7.77
YLR057w	15.31	8.97
YNL006W	12.33	10.23
YOR055W	0.5	4.08
YOR104W	8.85	11.55
YOL031C	17.57	21.63
YOL157C	11.25	6.85
YAL029C	22.23	756.61
YFL060C	6.63	3.19
YER029c	6.92	6.59
YBR042c	44.66	18.97
YIR020C	2.35	4.65
YBR163w	7.43	5.38
YLL065w	5.86	3.95
YLR439W	9.32	12.1
YLR133w	21.43	22.89
YNL031C	357.33	163.43
YNR001C	95.17	76.38
YOR097C	1.49	2.97
YOR101W	49.97	38.4
YOR216C	9.83	9.83
YOL113W	9.2	7.75
YCR032w	693.47	436.55
YIL138C	6.07	8.95
YCL033c	2.37	4.77
YBR018c	1.23	0.82
YBR158w	190.61	574.99
YJL193W	28.66	16.68
YIL055C	6.52	6.4
YLR290C	6.44	10.81
YML114C	6.52	9.38
YLR182W	18.99	17.35
YNR028W	136.99	141.92
YOR224C	18.06	40.14
YOR180C	7.61	8.05
YOR187W	220.33	280.35
YOR027W	160.61	242.76
YDL058W	14.09	6.61
YGL210W	6.51	6.56
YER058w	6.45	4.38
YBR249c	793.95	639.37
YJL205C-A	0.87	1.65
YBR286w	401.07	166.13
YLL009c	0.46	1.82
YML112W	1.75	4.29
YLR259C	553.87	344.61
YNR010W	2.88	1.24
YNR052C	68.09	61.99
YOR276W	45.82	60.23
YOR238W	3.38	4.38
YOR375C	807.71	608.03
YOR171C	48.68	20.92
YER007C-A	9.28	16.32
YIL087C	1.53	0.85
YCL010c	9.82	9.37
YBR065c	14.32	11.67
YBR270c	3.57	3.67
YJL139C	14.53	8.6
YIL009W	14.92	7.54
YLR376C	14.95	6.71
YMR013C	34.86	11.33
YLR336C	106.81	72.57
YNR062C	5.62	4.52
YOR333C	1.02	1.9
YOR280C	4	5.04
YOR244W	7.46	6.3
YOR175C	97.77	56.7
YDR334W	34.83	14.83
YGL051W	11.18	8.8
YER092w	7.08	8.07
YER028c	10.27	3.14
YJL173C	4.36	4.07
YCR054c	4.86	3.91
YLR111w	0.41	1.75
YML004C	43.38	38.52
YLR417W	8.14	12.03
YNR076W	30.94	13.21
