# From http://arep.med.harvard.edu/mrnadata/expression.html
# Finding DNA Regulatory Motifs within Unaligned Non-Coding Sequences Clustered by Whole-Genome mRNA Quantitation, Roth, F.R., Hughes, J. D., Estep, P. E. & G.M. Church, Nature Biotechnology 1998   
orf	expr.a	expr.alpha	low.sig.a	low.sig.alpha
YHR132C	0.14	0.18	FALSE	FALSE
YIR035C	0.31	0.6	FALSE	FALSE
YMR146C	0.36	0.88	FALSE	FALSE
YMR215W	0.92	1.29	FALSE	FALSE
YNL064C	0.49	0.72	FALSE	FALSE
YNL067W	1.48	1.54	FALSE	FALSE
YNL096C	0.82	1.58	FALSE	FALSE
YNL141W	0.11	0.18	TRUE	FALSE
YNR044W	0.18	0.28	FALSE	FALSE
YOL097C	0.29	0.52	FALSE	FALSE
YOL109W	1.59	1.89	FALSE	FALSE
YOR157C	0.47	0.68	FALSE	FALSE
YDR500C	5.12	7.72	FALSE	FALSE
YLR048W	2.25	3.36	FALSE	FALSE
YLR448W	4.37	6.39	FALSE	FALSE
YML106W	2.55	4.41	FALSE	FALSE
YMR264W	0.42	0.43	FALSE	FALSE
YMR298W	0.5	0.63	FALSE	FALSE
YNL138W	0.39	0.61	FALSE	FALSE
YNL232W	0.11	0.16	TRUE	FALSE
YNL241C	0.27	0.36	FALSE	FALSE
YNL312W	0.28	0.65	FALSE	FALSE
YOR167C	2.32	2.43	FALSE	FALSE
YOR260W	0.29	0.4	FALSE	FALSE
YOR355W	0.15	0.2	FALSE	FALSE
YGR060W	1.96	2.6	FALSE	FALSE
YJR094W-A	3.91	5.68	FALSE	FALSE
YKR059W	1.57	4.14	FALSE	FALSE
YKR094C	1.16	1.48	FALSE	FALSE
YLR179C	0.83	1.58	FALSE	FALSE
YLR388W	5.94	10.34	FALSE	FALSE
YML024W	3.63	4.98	FALSE	FALSE
YML026C	0.84	2.28	FALSE	FALSE
YML123C	0.35	0.56	TRUE	FALSE
YMR297W	1.65	2.6	FALSE	FALSE
YOL077C	0.11	0.18	TRUE	FALSE
YOR133W	2.91	3.52	FALSE	FALSE
YOR271C	0.48	0.67	FALSE	FALSE
YDL014W	0.63	0.94	FALSE	FALSE
YGL147C	1.35	2.2	FALSE	FALSE
YHR162W	1.38	2.26	FALSE	FALSE
YHR181W	0.35	0.71	FALSE	FALSE
YHR203C	4.69	7.32	FALSE	FALSE
YMR243C	0.75	0.75	FALSE	FALSE
YMR310C	0.12	0.21	FALSE	FALSE
YNL075W	0.11	0.16	TRUE	FALSE
YNL099C	0.11	0.24	TRUE	FALSE
YNL135C	4.35	9.95	FALSE	FALSE
YNL190W	1.14	1.61	FALSE	FALSE
YOL061W	0.45	0.74	FALSE	FALSE
YOL139C	1.27	1.24	FALSE	FALSE
YOR010C	1.16	1.62	FALSE	FALSE
YOR016C	0.18	0.35	FALSE	FALSE
YOR045W	1.6	2.22	FALSE	FALSE
YOR096W	2.93	3.29	FALSE	FALSE
YOR276W	0.65	0.75	FALSE	FALSE
YDR399W	0.22	0.38	FALSE	FALSE
YDR510W	0.28	0.5	FALSE	FALSE
YGR118W	1.4	1.92	FALSE	FALSE
YGR285C	0.88	1.37	FALSE	FALSE
YHR025W	1.54	2.18	FALSE	FALSE
YIL123W	0.68	1.15	FALSE	FALSE
YJL001W	0.39	0.61	FALSE	FALSE
YKL182W	0.77	1.43	FALSE	FALSE
YKR013W	1.31	1.85	FALSE	FALSE
YLL045C	1.68	3.2	FALSE	FALSE
YLR294C	0.45	1.1	FALSE	FALSE
YLR325C	1.24	2.24	FALSE	FALSE
YLR372W	1.33	2.24	FALSE	FALSE
YMR242C	0.58	1.15	FALSE	FALSE
YMR260C	0.27	0.38	FALSE	FALSE
YNL010W	0.23	0.37	FALSE	FALSE
YNL248C	0.11	0.17	TRUE	FALSE
YNR016C	0.41	0.5	FALSE	FALSE
YNR046W	0.14	0.45	FALSE	FALSE
YOR122C	2.73	4.46	FALSE	FALSE
YOR232W	0.16	0.24	FALSE	FALSE
YPL098C	0.94	1.46	FALSE	FALSE
YPL237W	0.18	0.22	FALSE	FALSE
YDL082W	2.42	4.59	FALSE	FALSE
YFL022C	0.56	0.64	FALSE	FALSE
YGR262C	0.17	0.23	FALSE	FALSE
YHR175W	0.4	0.55	FALSE	FALSE
YIL121W	0.16	0.2	FALSE	FALSE
YML073C	3.12	4.4	FALSE	FALSE
YMR142C	1.95	2.96	FALSE	FALSE
YMR286W	0.29	0.42	FALSE	FALSE
YMR318C	0.37	0.56	FALSE	FALSE
YNL066W	0.32	0.42	FALSE	FALSE
YNL244C	0.88	0.81	FALSE	FALSE
YOL014W	0.14	0.23	FALSE	FALSE
YOL019W	0.15	0.29	FALSE	FALSE
YOL086C	7.45	8.52	FALSE	FALSE
YOL136C	0.14	0.15	FALSE	FALSE
YOR046C	0.14	0.18	FALSE	FALSE
YOR092W	0.12	0.21	FALSE	FALSE
YOR248W	1.59	2.18	FALSE	FALSE
YOR312C	1.2	1.65	FALSE	FALSE
YPL058C	0.12	0.24	FALSE	FALSE
YDR398W	0.09	0.11	TRUE	FALSE
YDR508C	0.53	0.66	FALSE	FALSE
YFL035C-B	0.15	0.26	FALSE	FALSE
YFR051C	0.55	1.02	FALSE	FALSE
YGL125W	0.1	0.21	FALSE	FALSE
YGR135W	0.4	0.56	FALSE	FALSE
YHL001W	3.27	3.71	FALSE	FALSE
YHL015W	3.39	5.46	FALSE	FALSE
YHR143W-A	0.12	0.23	FALSE	FALSE
YIL076W	0.1	0.13	TRUE	FALSE
YIR044C	0.25	0.41	FALSE	FALSE
YKR042W	4.61	6.54	FALSE	FALSE
YLR043C	2.64	5.22	FALSE	FALSE
YLR109W	3.58	9.66	FALSE	FALSE
YLR180W	0.6	1.41	FALSE	FALSE
YLR447C	0.58	1.07	FALSE	FALSE
YML028W	4.04	7.95	FALSE	FALSE
YML101C	0.35	0.58	TRUE	FALSE
YMR305C	0.75	1.37	FALSE	FALSE
YNL149C	0.11	0.14	TRUE	FALSE
YNL283C	0.23	0.35	FALSE	FALSE
YNL301C	1.8	1.97	FALSE	FALSE
YNL322C	1.45	1.29	FALSE	FALSE
YNR043W	0.35	0.44	FALSE	FALSE
YOL012C	0.5	0.6	FALSE	FALSE
YOL039W	8.1	11.06	FALSE	FALSE
YOL073C	0.46	0.47	FALSE	FALSE
YOL120C	7.79	6.78	FALSE	FALSE
YOR085W	0.25	0.23	FALSE	FALSE
YOR246C	0.27	0.42	FALSE	FALSE
YOR270C	1.73	2.15	FALSE	FALSE
YPL131W	9.79	15.07	FALSE	FALSE
YPR010C	0.27	0.41	FALSE	FALSE
YDR487C	0.13	0.21	FALSE	FALSE
YDR492W	0.24	0.28	FALSE	FALSE
YER073W	0.1	0.13	FALSE	FALSE
YFL045C	1.25	1.49	FALSE	FALSE
YGL009C	0.42	0.53	FALSE	FALSE
YGL167C	0.12	0.16	FALSE	FALSE
YGR214W	1.38	1.64	FALSE	FALSE
YGR275W	0.1	0.19	FALSE	FALSE
YHL011C	0.11	0.19	FALSE	FALSE
YHR001W-A	0.81	0.73	FALSE	FALSE
YHR062C	0.07	0.09	TRUE	FALSE
YIL041W	0.81	1.1	FALSE	FALSE
YJL002C	0.57	0.96	FALSE	FALSE
YJR070C	0.35	0.43	TRUE	FALSE
YKL178C	0.35	0.43	TRUE	FALSE
YLR017W	0.35	0.63	TRUE	FALSE
YLR044C	11.63	13.96	FALSE	FALSE
YLR432W	0.35	0.59	TRUE	FALSE
YML092C	0.56	0.95	FALSE	FALSE
YMR295C	1.83	1.7	FALSE	FALSE
YNL101W	0.11	0.17	TRUE	FALSE
YNL162W	1.22	2.11	FALSE	FALSE
YNL208W	2.81	2.76	FALSE	FALSE
YNR053C	0.11	0.14	TRUE	FALSE
YOL142W	0.14	0.24	TRUE	FALSE
YOR063W	4.77	6.58	FALSE	FALSE
YOR151C	0.11	0.18	TRUE	FALSE
YOR153W	0.46	0.52	FALSE	FALSE
YOR203W	0.12	0.21	FALSE	FALSE
YOR293W	3.03	3.22	FALSE	FALSE
25srRnae	0.35	0.26	TRUE	FALSE
YBL002W	2.74	2.63	FALSE	FALSE
YCR053W	0.87	1.16	FALSE	FALSE
YEL007W	0.1	0.14	TRUE	FALSE
YFR009W	0.17	0.26	FALSE	FALSE
YGL056C	0.07	0.11	TRUE	FALSE
YGR155W	0.68	0.59	FALSE	FALSE
YHR214C-B	0.23	0.19	FALSE	FALSE
YJL014W	0.23	0.23	FALSE	FALSE
YLR058C	1.52	3.52	FALSE	FALSE
YLR110C	13.2	35.7	FALSE	FALSE
YLR185W	4.65	5.62	FALSE	FALSE
YLR406C	1.33	2.85	FALSE	FALSE
YML012W	1.59	2.25	FALSE	FALSE
YML086C	0.39	0.69	FALSE	FALSE
YMR246W	0.2	0.28	FALSE	FALSE
YMR256C	0.54	0.58	FALSE	FALSE
YMR308C	0.29	0.24	FALSE	FALSE
YNL046W	0.51	0.56	FALSE	FALSE
YNL070W	0.35	0.54	FALSE	FALSE
YNL078W	0.2	0.29	FALSE	FALSE
YNL131W	0.46	0.59	FALSE	FALSE
YNR035C	0.16	0.26	FALSE	FALSE
YOR023C	0.11	0.16	TRUE	FALSE
YOR095C	0.11	0.13	TRUE	FALSE
YOR286W	0.52	0.58	FALSE	FALSE
YPL160W	0.12	0.16	TRUE	FALSE
YPL211W	0.11	0.15	TRUE	FALSE
YBR092C	0.35	0.41	FALSE	FALSE
YER072W	1.02	1.05	FALSE	FALSE
YER120W	1.47	1.53	FALSE	FALSE
YER156C	0.16	0.18	FALSE	FALSE
YGL012W	0.69	0.82	FALSE	FALSE
YGL200C	1.24	1.12	FALSE	FALSE
YGR024C	0.13	0.2	FALSE	FALSE
YHR183W	1.99	2.73	FALSE	FALSE
YJR123W	5.23	7.14	FALSE	FALSE
YLR153C	0.47	0.8	FALSE	FALSE
YLR264W	2.16	3.08	FALSE	FALSE
YLR367W	0.67	0.97	FALSE	FALSE
YMR202W	1.87	2.57	FALSE	FALSE
YMR238W	0.25	0.33	FALSE	FALSE
YNL069C	5	7.52	FALSE	FALSE
YNL178W	7.05	7.67	FALSE	FALSE
YNL220W	0.22	0.22	FALSE	FALSE
YNL247W	0.11	0.17	TRUE	FALSE
YNL263C	0.49	0.75	FALSE	FALSE
YNR061C	0.16	0.27	FALSE	FALSE
YOL110W	0.19	0.36	FALSE	FALSE
YOL123W	0.12	0.14	FALSE	FALSE
YOR224C	1.35	1.63	FALSE	FALSE
YOR362C	0.23	0.26	FALSE	FALSE
YPL032C	0.11	0.21	TRUE	FALSE
YPL053C	0.11	0.16	TRUE	FALSE
YPR016C	0.99	1.06	FALSE	FALSE
YPR033C	0.33	0.31	FALSE	FALSE
YAL063C	0.09	0.1	TRUE	FALSE
YBL076C	0.41	0.48	FALSE	FALSE
YBR249C	2.24	1.79	FALSE	FALSE
YDL192W	3.84	4.11	FALSE	FALSE
YDR457W	0.09	0.12	TRUE	FALSE
YER009W	1.33	1.02	FALSE	FALSE
YER011W	2.52	3.07	FALSE	FALSE
YER165W	0.28	0.43	FALSE	FALSE
YGL048C	0.27	0.4	FALSE	FALSE
YGL076C	3.81	4.11	FALSE	FALSE
YGR082W	0.3	0.54	FALSE	FALSE
YGR157W	0.45	0.65	FALSE	FALSE
YGR253C	0.21	0.17	FALSE	FALSE
YHL033C	1.4	1.72	FALSE	FALSE
YHR049W	0.28	0.54	FALSE	FALSE
YHR057C	0.11	0.15	FALSE	FALSE
YHR064C	0.94	1.16	FALSE	FALSE
YHR094C	0.84	1.34	FALSE	FALSE
YHR200W	0.31	0.44	FALSE	FALSE
YLR113W	0.41	0.57	FALSE	FALSE
YML056C	0.41	0.58	FALSE	FALSE
YMR194W	5.47	4.55	FALSE	FALSE
YMR300C	0.11	0.12	TRUE	FALSE
YNL168C	0.21	0.25	FALSE	FALSE
YNL231C	0.12	0.18	FALSE	FALSE
YNL239W	0.26	0.25	FALSE	FALSE
YNL300W	3.3	1.49	FALSE	FALSE
YNR017W	0.36	0.58	FALSE	FALSE
YNR018W	1.45	1.95	FALSE	FALSE
YNR052C	0.12	0.18	TRUE	FALSE
YOL030W	1.07	0.98	FALSE	FALSE
YOL042W	0.11	0.12	TRUE	FALSE
YOR020C	1.22	0.77	FALSE	FALSE
YOR128C	0.19	0.24	FALSE	FALSE
YOR184W	0.17	0.22	FALSE	FALSE
YOR209C	0.24	0.21	FALSE	FALSE
YOR222W	0.24	0.29	FALSE	FALSE
YOR234C	1.87	2.69	FALSE	FALSE
YPL012W	0.11	0.13	TRUE	FALSE
YPL128C	0.16	0.2	FALSE	FALSE
YBR162C	0.6	0.61	FALSE	FALSE
YER178W	1.88	1.91	FALSE	FALSE
YGL008C	6.06	5.38	FALSE	FALSE
YGL224C	0.07	0.09	TRUE	FALSE
YGL255W	4.53	4.95	FALSE	FALSE
YGL256W	2.66	3.48	FALSE	FALSE
YGR037C	2.26	2.95	FALSE	FALSE
YGR061C	0.2	0.37	FALSE	FALSE
YGR181W	0.64	0.75	FALSE	FALSE
YGR234W	0.37	0.59	FALSE	FALSE
YHR013C	0.07	0.1	TRUE	FALSE
YHR027C	0.13	0.17	FALSE	FALSE
YHR055C	6.8	6.52	FALSE	FALSE
YHR083W	0.2	0.25	FALSE	FALSE
YHR143W	0.48	0.54	FALSE	FALSE
YIL053W	2.53	3.14	FALSE	FALSE
YIL064W	0.07	0.1	TRUE	FALSE
YIL083C	0.26	0.39	FALSE	FALSE
YJR121W	0.8	1.3	FALSE	FALSE
YKL081W	0.51	0.84	FALSE	FALSE
YKL184W	0.35	0.52	TRUE	FALSE
YLL014W	0.77	1.1	FALSE	FALSE
YLR065C	0.35	0.48	TRUE	FALSE
YLR297W	0.5	0.57	FALSE	FALSE
YLR350W	1.57	1.94	FALSE	FALSE
YLR375W	0.76	0.93	FALSE	FALSE
YMR149W	0.71	0.69	FALSE	FALSE
YNL002C	0.11	0.12	TRUE	FALSE
YNL086W	0.13	0.18	FALSE	FALSE
YNL142W	0.13	0.12	FALSE	FALSE
YNL160W	2.57	3.77	FALSE	FALSE
YNL251C	0.11	0.19	TRUE	FALSE
YNL288W	0.23	0.3	FALSE	FALSE
YNL307C	0.14	0.28	FALSE	FALSE
YOL020W	0.11	0.15	TRUE	FALSE
YOL038W	0.51	0.54	FALSE	FALSE
YOL111C	0.47	0.51	FALSE	FALSE
YOL147C	0.79	0.81	FALSE	FALSE
YOR015W	0.11	0.15	FALSE	FALSE
YOR051C	0.11	0.12	TRUE	FALSE
YOR061W	0.13	0.18	FALSE	FALSE
YOR099W	1.34	1.16	FALSE	FALSE
YOR259C	0.22	0.26	FALSE	FALSE
YOR369C	3.54	3.26	FALSE	FALSE
YPL090C	2.44	3.1	FALSE	FALSE
YPR058W	0.36	0.22	FALSE	FALSE
YBL025W	0.09	0.1	TRUE	FALSE
YBR079C	0.17	0.25	FALSE	FALSE
YBR088C	0.38	0.43	FALSE	FALSE
YDL229W	5.02	5.31	FALSE	FALSE
YFR049W	0.23	0.29	FALSE	FALSE
YGL103W	3.2	4.77	FALSE	FALSE
YGR106C	0.7	0.82	FALSE	FALSE
YGR185C	0.17	0.22	FALSE	FALSE
YHR010W	3.58	2.94	FALSE	FALSE
YHR174W	15.27	25.96	FALSE	FALSE
YHR208W	0.47	0.89	FALSE	FALSE
YIL008W	0.07	0.11	TRUE	FALSE
YIL078W	0.8	1.46	FALSE	FALSE
YLR340W	8.13	9.17	FALSE	FALSE
YLR370C	0.58	0.83	FALSE	FALSE
YML085C	0.44	0.7	FALSE	FALSE
YNL030W	2.55	1.8	FALSE	FALSE
YNL052W	1.09	0.9	FALSE	FALSE
YNL156C	0.44	0.45	FALSE	FALSE
YNL243W	0.13	0.16	FALSE	FALSE
YNL302C	2.55	2.95	FALSE	FALSE
YOL121C	3.34	3.89	FALSE	FALSE
YOL129W	1.56	1.5	FALSE	FALSE
YOR283W	0.11	0.12	TRUE	FALSE
YOR383C	1.18	1.37	FALSE	FALSE
YPL014W	0.26	0.33	FALSE	FALSE
YPL028W	2.49	2.75	FALSE	FALSE
YPL081W	0.25	0.33	FALSE	FALSE
YPL135W	0.76	0.47	FALSE	FALSE
YPL274W	0.17	0.22	FALSE	FALSE
YPR023C	0.24	0.32	FALSE	FALSE
YAL012W	1.53	1.72	FALSE	FALSE
YBR069C	0.24	0.23	FALSE	FALSE
YBR121C	0.46	0.41	FALSE	FALSE
YDR025W	1.05	1.34	FALSE	FALSE
YDR037W	0.34	0.42	FALSE	FALSE
YER154W	0.38	0.31	FALSE	FALSE
YGL011C	0.39	0.3	FALSE	FALSE
YGL022W	0.21	0.21	FALSE	FALSE
YGL189C	14.83	22.84	FALSE	FALSE
YGR210C	0.2	0.25	FALSE	FALSE
YGR296W	0.37	0.45	FALSE	FALSE
YHR021C	12.82	13.16	FALSE	FALSE
YHR089C	0.55	0.65	FALSE	FALSE
YHR190W	0.54	0.69	FALSE	FALSE
YJL004C	0.21	0.25	FALSE	FALSE
YJR133W	0.46	0.63	FALSE	FALSE
YJR139C	1.05	1.09	FALSE	FALSE
YKL056C	10.71	10.33	FALSE	FALSE
YKL164C	5.07	5.54	FALSE	FALSE
YLR259C	0.98	1.19	FALSE	FALSE
YLR300W	6.8	4.85	FALSE	FALSE
YLR354C	1.04	1.35	FALSE	FALSE
YML126C	1.23	1.35	FALSE	FALSE
YMR116C	9.06	8.98	FALSE	FALSE
YMR195W	0.98	0.97	FALSE	FALSE
YNL003C	0.22	0.18	FALSE	FALSE
YNL008C	0.11	0.18	TRUE	FALSE
YNL058C	0.11	0.2	TRUE	FALSE
YNL079C	0.19	0.29	FALSE	FALSE
YNL130C	0.82	0.79	FALSE	FALSE
YNL229C	0.11	0.11	TRUE	FALSE
YNR021W	0.59	0.61	FALSE	FALSE
YNR030W	0.14	0.16	FALSE	FALSE
YNR036C	0.96	0.94	FALSE	FALSE
YOL002C	0.32	0.28	FALSE	FALSE
YOL059W	0.43	0.5	FALSE	FALSE
YOL107W	0.15	0.16	FALSE	FALSE
YOR257W	0.11	0.14	TRUE	FALSE
YPR147C	0.24	0.25	FALSE	FALSE
YBR048W	0.32	0.37	FALSE	FALSE
YBR084C-A	0.43	0.33	FALSE	FALSE
YCR051W	0.17	0.2	FALSE	FALSE
YDL130W	20.92	22.16	FALSE	FALSE
YDR433W	1.23	1.3	FALSE	FALSE
YDR441C	0.33	0.46	FALSE	FALSE
YDR519W	0.97	0.92	FALSE	FALSE
YEL027W	6.11	8.08	FALSE	FALSE
YER057C	0.89	0.77	FALSE	FALSE
YER080W	0.08	0.07	FALSE	FALSE
YGR172C	0.18	0.25	FALSE	FALSE
YGR211W	0.07	0.11	TRUE	FALSE
YHR007C	1.02	1.3	FALSE	FALSE
YHR039BC	0.71	1.09	FALSE	FALSE
YHR133C	0.42	0.69	FALSE	FALSE
YHR170W	0.07	0.15	FALSE	FALSE
YIL062C	0.73	1.21	FALSE	FALSE
YIL148W	3.68	4.12	FALSE	FALSE
YIL158W	0.15	0.19	FALSE	FALSE
YIR012W	0.07	0.09	TRUE	FALSE
YKL060C	11.55	22.12	FALSE	FALSE
YLR061W	7.13	9.29	FALSE	FALSE
YLR075W	5.4	8.55	FALSE	FALSE
YLR172C	0.36	0.44	FALSE	FALSE
YLR342W	0.4	0.47	TRUE	FALSE
YLR441C	2.69	3.96	FALSE	FALSE
YMR002W	1.24	1.96	FALSE	FALSE
YMR241W	0.94	1.18	FALSE	FALSE
YMR303C	0.15	0.27	FALSE	FALSE
YMR314W	0.31	0.31	FALSE	FALSE
YNL055C	6.5	5.85	FALSE	FALSE
YNL100W	0.19	0.16	FALSE	FALSE
YNL104C	1.2	0.85	FALSE	FALSE
YNL108C	0.16	0.16	FALSE	FALSE
YNL154C	0.13	0.3	FALSE	FALSE
YNL185C	0.18	0.17	FALSE	FALSE
YNL291C	0.11	0.18	TRUE	FALSE
YNR032W	0.11	0.11	TRUE	FALSE
YOL057W	0.16	0.21	FALSE	FALSE
YOR089C	0.11	0.12	FALSE	FALSE
YOR251C	0.14	0.17	FALSE	FALSE
YOR361C	0.24	0.3	FALSE	FALSE
YOR382W	0.14	0.15	FALSE	FALSE
YPL013C	0.21	0.28	FALSE	FALSE
YPL094C	0.7	0.61	FALSE	FALSE
YPL095C	0.32	0.31	FALSE	FALSE
YPL149W	0.42	0.42	FALSE	FALSE
YPL184C	0.12	0.2	TRUE	FALSE
YPL252C	0.88	0.78	FALSE	FALSE
YBL053W	0.09	0.15	FALSE	FALSE
YBR014C	0.09	0.13	FALSE	FALSE
YBR025C	0.75	0.76	FALSE	FALSE
YBR143C	0.22	0.2	FALSE	FALSE
YBR222C	0.15	0.16	FALSE	FALSE
YBR254C	0.09	0.1	TRUE	FALSE
YCL011C	0.25	0.25	FALSE	FALSE
YCL017C	0.52	0.64	FALSE	FALSE
YCR039C	0.09	0.14	TRUE	FALSE
YCR090C	0.09	0.09	TRUE	FALSE
YCR096C	0.12	0.17	FALSE	FALSE
YDR190C	0.15	0.18	FALSE	FALSE
YDR464W	0.1	0.12	TRUE	FALSE
YDR497C	4.04	3.86	FALSE	FALSE
YER102W	6.12	5.21	FALSE	FALSE
YFL037W	0.48	0.6	FALSE	FALSE
YFL066C	0.12	0.07	FALSE	TRUE
YGL221C	0.4	0.29	FALSE	FALSE
YIR011C	0.18	0.2	FALSE	FALSE
YJL055W	0.51	0.55	FALSE	FALSE
YJL130C	0.35	0.55	TRUE	FALSE
YJL177W	4.7	4.6	FALSE	FALSE
YKL096W	4.38	5.54	FALSE	FALSE
YLR303W	0.39	0.51	FALSE	FALSE
YMR203W	0.4	0.39	FALSE	FALSE
YNL031C	5.59	7.11	FALSE	FALSE
YNL062C	0.11	0.11	TRUE	FALSE
YNL157W	0.37	0.45	FALSE	FALSE
YNL180C	0.19	0.25	FALSE	FALSE
YNL240C	0.12	0.13	FALSE	FALSE
YNR055C	0.31	0.39	FALSE	FALSE
YOR007C	0.71	0.54	FALSE	FALSE
YOR106W	0.11	0.11	TRUE	FALSE
YOR131C	0.11	0.18	TRUE	FALSE
YOR142W	0.52	0.49	FALSE	FALSE
YOR204W	0.34	0.32	FALSE	FALSE
YOR335C	0.35	0.43	FALSE	FALSE
YOR375C	1.18	1.05	FALSE	FALSE
YPL031C	0.52	0.41	FALSE	FALSE
YPL037C	3.31	1.77	FALSE	FALSE
YPL059W	0.37	0.32	FALSE	FALSE
YPL061W	1.33	0.86	FALSE	FALSE
YPL067C	0.21	0.49	FALSE	FALSE
YPR132W	3.53	4.34	FALSE	FALSE
18srRnaa	0.17	0.12	FALSE	FALSE
18srRnab	0.11	0.09	FALSE	TRUE
bioc5	0.35	0.26	TRUE	FALSE
biod3	0.18	0.09	FALSE	TRUE
CONTROL5	0.36	0.23	FALSE	FALSE
cre5	0.34	0.16	FALSE	FALSE
DAPM	0.11	0.08	TRUE	TRUE
THR3	0.11	0.08	TRUE	TRUE
YAL009W	0.09	0.04	TRUE	FALSE
YAL017W	0.09	0.05	TRUE	FALSE
YAL019W	0.09	0.04	TRUE	FALSE
YAL021C	0.09	0.08	TRUE	FALSE
YAL027W	0.09	0.05	TRUE	FALSE
YAL043C	0.09	0.05	TRUE	FALSE
YAL045C	0.09	0.04	TRUE	FALSE
YAL046C	0.16	0.07	FALSE	FALSE
YAL051W	0.09	0.04	TRUE	TRUE
YAL053W	0.14	0.07	FALSE	FALSE
YAL054C	0.09	0.04	TRUE	TRUE
YAL055W	0.09	0.04	FALSE	TRUE
YAL056W	0.09	0.05	TRUE	FALSE
YAL060W	0.56	0.17	FALSE	FALSE
YAL062W	0.09	0.08	TRUE	FALSE
YAR003W	0.09	0.09	TRUE	FALSE
YAR007C	0.09	0.05	TRUE	FALSE
YAR010C	0.12	0.08	FALSE	FALSE
YAR015W	0.12	0.05	FALSE	FALSE
YAR020C	0.26	0.11	FALSE	FALSE
