orf	name	YPD0.1_rpkb	YPD0.2_rpkb	YPD15.1_rpkb	YPD15.2_rpkb	HS15.1_rpkb	HS15.2_rpkb	YPD0_rpkb	YPD15_rpkb	HS15_rpkb	YPD0_copies_per_cell	YPD15_copies_per_cell	HS15_copies_per_cell
YAL032C	PRP45	80.56	95.61	102.7	86.76	115.09	77.02	88.09	94.73	96.06	0.33	0.38	0.4
YAL031W-A	NA	114.57	137.48	127.66	157.12	219.31	157.12	126.02	142.39	188.22	0.47	0.58	0.78
YAL031C	GIP4	89.5	105.89	101.02	109.88	123.61	120.51	97.69	105.45	122.06	0.36	0.43	0.51
YAL030W	SNC1	309.97	424.78	344.42	255.44	797.9	548.19	367.38	299.93	673.04	1.36	1.22	2.79
YAL029C	MYO4	201.41	186.59	153.51	144.39	57.94	82.12	194	148.95	70.03	0.72	0.6	0.29
YAL028W	FRT2	54.86	139.7	66.34	85.48	206.04	194.56	97.28	75.91	200.3	0.36	0.31	0.83
YAL027W	NA	85	99.17	81.14	83.71	96.59	60.53	92.08	82.43	78.56	0.34	0.33	0.33
YAL026C-A	NA	407.05	365.66	335.76	287.47	388.65	179.38	386.35	311.61	284.02	1.43	1.26	1.18
YAL026C	DRS2	186.01	172.37	162.95	152.53	106.65	108.38	179.19	157.74	107.52	0.66	0.64	0.45
YAL025C	MAK16	355.85	210.67	239.05	162.64	12.01	10.92	283.26	200.85	11.46	1.05	0.82	0.05
YAL024C	LTE1	57.57	49.62	41.42	43.3	31.13	33	53.59	42.36	32.06	0.2	0.17	0.13
YAL023C	PMT2	837.27	699.35	871.97	746.51	535.64	654.42	768.31	809.24	595.03	2.84	3.28	2.47
YAL022C	FUN26	189.37	166.52	191.33	148.89	174.35	124.07	177.94	170.11	149.21	0.66	0.69	0.62
YAL021C	CCR4	216.97	194.99	193.77	197.02	132.71	178.3	205.98	195.4	155.5	0.76	0.79	0.64
YAL019W-A	NA	47.7	38.87	51.24	45.94	53	31.8	43.29	48.59	42.4	0.16	0.2	0.18
YAL020C	ATS1	89.86	84.81	90.87	72.7	96.93	53.51	87.34	81.78	75.22	0.32	0.33	0.31
YAL019W	FUN30	157.44	116.81	110.24	103.66	24.2	32.86	137.12	106.95	28.53	0.51	0.43	0.12
YAL018C	NA	0	1.03	2.07	1.03	7.23	6.2	0.52	1.55	6.71	0	0.01	0.03
YAL017W	PSK1	142.76	183.13	172.66	195.83	241.43	323.4	162.94	184.25	282.41	0.6	0.75	1.17
YAL016C-B	NA	194.81	335.51	270.58	238.11	660.2	432.92	265.16	254.34	546.56	0.98	1.03	2.26
YAL016W	TPD3	347.07	321.63	375.15	322.16	493.31	429.2	334.35	348.66	461.25	1.23	1.42	1.91
YAL016C-A	NA	135.45	119.32	161.25	183.82	161.25	206.4	127.39	172.53	183.82	0.47	0.7	0.76
YAL015C	NTG1	103.41	110.98	118.55	83.23	258.95	145.45	107.2	100.89	202.2	0.4	0.41	0.84
YAL014C	SYN8	281.55	259.18	240.76	157.88	353.91	228.92	270.37	199.32	291.42	1	0.81	1.21
YAL013W	DEP1	111.7	131.13	140.84	111.7	145.69	125.46	121.41	126.27	135.58	0.45	0.51	0.56
YAL012W	CYS3	1032.86	1051.65	1133.66	996.97	782.54	754.35	1042.25	1065.32	768.45	3.85	4.32	3.18
YAL011W	SWC3	79.25	93.9	78.16	71.11	53.74	42.88	86.57	74.63	48.31	0.32	0.3	0.2
YAL010C	MDM10	49.02	64	44.93	43.57	88.51	72.85	56.51	44.25	80.68	0.21	0.18	0.33
YAL009W	SPO7	106.64	143.05	120.94	114.44	114.44	117.04	124.84	117.69	115.74	0.46	0.48	0.48
YAL008W	FUN14	247.98	434.82	263.27	336.31	988.54	681.1	341.4	299.79	834.82	1.26	1.22	3.46
YAL007C	ERP2	821.19	758.86	805.61	709	609.27	451.89	790.03	757.3	530.58	2.92	3.07	2.2
YAL004W	NA	1649.72	2928.81	2051.98	2345.76	11823.73	11665.54	2289.27	2198.87	11744.63	8.45	8.93	48.66
YAL005C	SSA1	2946.02	5223.01	3726.86	4043.06	33156.17	19289.85	4084.51	3884.96	26223.01	15.08	15.77	108.65
YAL003W	EFB1	8897.54	6603.35	8458.29	7401.82	12692.34	11500.34	7750.44	7930.06	12096.34	28.61	32.19	50.12
YAL002W	VPS8	67.86	92.41	83.44	66.54	73.67	64.16	80.14	74.99	68.91	0.3	0.3	0.29
YAL001C	TFC3	138.76	158.7	125.75	125.17	111.87	111.29	148.73	125.46	111.58	0.55	0.51	0.46
YAR002W	NUP60	254.3	249.93	253.05	246.8	126.84	121.84	252.12	249.93	124.34	0.93	1.01	0.52
YAR002C-A	ERP1	1085.27	972	1008.74	1016.39	733.21	606.16	1028.64	1012.56	669.69	3.8	4.11	2.77
YAR003W	SWD1	151.96	178.87	113.18	115.56	123.47	66.48	165.42	114.37	94.98	0.61	0.46	0.39
YAR007C	RFA1	244.5	190.4	235.3	258.02	255.31	213.66	217.45	246.66	234.49	0.8	1	0.97
YAR008W	SEN34	129.84	97.99	101.66	74.72	33.07	15.92	113.91	88.19	24.5	0.42	0.36	0.1
YAR014C	BUD14	170.94	147.67	153.37	137.7	100.66	90.69	159.3	145.53	95.68	0.59	0.59	0.4
YAR015W	ADE1	3013.35	2268.83	2878.99	2300.77	501.12	259.92	2641.09	2589.88	380.52	9.75	10.51	1.58
YAR018C	KIN3	122.48	102.46	114.01	104.77	136.35	98.6	112.47	109.39	117.48	0.42	0.44	0.49
YAR019W-A	NA	5.88	2.94	8.82	14.71	17.65	38.24	4.41	11.77	27.94	0.02	0.05	0.12
YAR019C	CDC15	35.29	31.83	41.17	44.29	78.89	83.73	33.56	42.73	81.31	0.12	0.17	0.34
YAR020C	PAU7	15.74	94.43	31.48	31.48	110.16	78.69	55.08	31.48	94.43	0.2	0.13	0.39
YAR023C	NA	37.38	56.07	44.86	37.38	104.67	67.29	46.73	41.12	85.98	0.17	0.17	0.36
YAR027W	UIP3	257.95	346.39	344.92	365.56	937.48	613.19	302.17	355.24	775.33	1.12	1.44	3.21
YAR028W	NA	165.34	258.35	131.39	147.63	150.58	125.48	211.85	139.51	138.03	0.78	0.57	0.57
YAR029W	NA	67.81	135.62	49.73	31.64	140.14	58.77	101.71	40.69	99.45	0.38	0.17	0.41
YAR031W	PRM9	55.46	62.62	50.1	37.57	53.68	42.94	59.04	43.83	48.31	0.22	0.18	0.2
YAR030C	NA	32.49	47.26	17.72	11.82	56.12	44.31	39.88	14.77	50.22	0.15	0.06	0.21
YAR033W	MST28	99.07	160.99	49.54	24.77	24.77	61.92	130.03	37.15	43.34	0.48	0.15	0.18
YAR035W	YAT1	13.31	22.19	14.79	14.3	24.65	27.12	17.75	14.55	25.89	0.07	0.06	0.11
YAR035C-A	NA	37.44	24.96	12.48	0	12.48	62.4	31.2	6.24	37.44	0.12	0.03	0.16
YAR042W	SWH1	164.39	168.95	169.81	157.82	162.1	248.58	166.67	163.81	205.34	0.62	0.66	0.85
YAR047C	NA	9.44	9.44	3.15	3.15	15.74	3.15	9.44	3.15	9.44	0.03	0.01	0.04
YAR050W	FLO1	18.17	21.2	20.19	10.09	9.08	10.09	19.68	15.14	9.59	0.07	0.06	0.04
YAR053W	NA	0	18.13	0	0	0	18.13	9.06	0	9.06	0.03	0	0.04
YAR060C	NA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR064W	NA	0	84.21	84.21	168.42	0	0	42.11	126.32	0	0.16	0.51	0
YAR066W	NA	0	0	0	0	0	0	0	0	0	0	0	0
YAR068W	NA	0	0	0	0	0	0	0	0	0	0	0	0
YAR069C	NA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR070C	NA	0	0	0	29.85	0	0	0	14.93	0	0	0.06	0
YAR071W	PHO11	450	175	250	250	0	75	312.5	250	37.5	1.15	1.01	0.16
YAR073W	IMD1	4.62	9.24	4.62	0	0	0	6.93	2.31	0	0.03	0.01	0
YAR075W	NA	0	0	0	0	0	0	0	0	0	0	0	0
YBL113W-A	NA	155.84	0	155.84	0	0	0	77.92	77.92	0	0.29	0.32	0
YBL113C	NA	69.57	97.39	41.74	13.91	41.74	41.74	83.48	27.83	41.74	0.31	0.11	0.17
YBL112C	NA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL111C	NA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL109W	NA	12.97	6.48	12.97	0	6.48	0	9.72	6.48	3.24	0.04	0.03	0.01
YBL108C-A	NA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL108W	NA	6.48	6.48	6.48	0	0	0	6.48	3.24	0	0.02	0.01	0
YBL107W-A	NA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL107C	NA	347.04	282.39	278.99	222.85	275.59	124.18	314.72	250.92	199.89	1.16	1.02	0.83
YBL106C	SRO77	44.23	54.88	38.58	25.94	25.28	14.3	49.55	32.26	19.79	0.18	0.13	0.08
YBL105C	PKC1	141.52	149.98	138.02	140.93	89.58	106.5	145.75	139.48	98.04	0.54	0.57	0.41
YBL104C	NA	80.53	75.35	70.5	62.09	42.69	41.4	77.94	66.3	42.04	0.29	0.27	0.17
YBL103C	RTG3	99.63	136.3	91.33	88.56	98.94	71.27	117.97	89.95	85.1	0.44	0.37	0.35
YBL102W	SFT2	513.49	594.65	554.07	461.99	948.95	613.38	554.07	508.03	781.17	2.05	2.06	3.24
YBL101C	ECM21	113.67	107.04	138.09	131.46	147.14	179.4	110.35	134.77	163.27	0.41	0.55	0.68
YBL100W-C	NA	25.41	33.89	8.47	33.89	59.3	42.36	29.65	21.18	50.83	0.11	0.09	0.21
YBL099W	ATP1	2333.02	2605.16	2390.54	2794.42	2108.5	2571.76	2469.09	2592.48	2340.13	9.11	10.52	9.7
YBL100C	NA	1149.3	1487.32	1329.58	1664.39	1033.4	1686.92	1318.31	1496.98	1360.16	4.87	6.08	5.64
YBL098W	BNA4	206.89	210.55	188.61	163.03	100.89	57.02	208.72	175.82	78.95	0.77	0.71	0.33
YBL097W	BRN1	46.65	35.89	30.95	35.44	13.46	27.81	41.27	33.19	20.63	0.15	0.13	0.09
YBL095W	NA	152.55	137.54	156.3	101.28	191.31	133.79	145.05	128.79	162.55	0.54	0.52	0.67
YBL096C	NA	102.13	52.71	115.31	56.01	118.6	65.89	77.42	85.66	92.24	0.29	0.35	0.38
YBL094C	NA	203.98	188.76	179.63	121.78	210.07	164.4	196.37	150.7	187.24	0.72	0.61	0.78
YBL093C	ROX3	249.7	278.63	237.52	216.2	214.68	115.71	264.16	226.86	165.2	0.98	0.92	0.68
YBL092W	RPL32	13871.91	11583.02	12753.13	11008.23	3818.24	2897.04	12727.47	11880.68	3357.64	46.98	48.23	13.91
YBL091C-A	SCS22	214.35	275.6	214.35	183.73	311.96	166.51	244.98	199.04	239.23	0.9	0.81	0.99
YBL091C	MAP2	699.39	763.34	681.81	673.02	728.97	581.9	731.37	677.41	655.43	2.7	2.75	2.72
YBL090W	MRP21	294.7	247.17	269.98	287.09	361.25	199.64	270.93	278.54	280.44	1	1.13	1.16
YBL089W	AVT5	89.99	104.62	103.89	78.28	84.87	53.41	97.31	91.09	69.14	0.36	0.37	0.29
YBL088C	TEL1	39.91	49.92	30.63	28.34	15.68	24.24	44.92	29.48	19.96	0.17	0.12	0.08
YBL087C	RPL23A	4777.78	4313.49	4698.41	4170.64	1309.52	1170.64	4545.64	4434.52	1240.08	16.78	18	5.14
YBL086C	NA	119.45	123.05	141.04	156.87	267.69	238.19	121.25	148.96	252.94	0.45	0.6	1.05
YBL085W	BOI1	243.45	245.18	265.52	239.31	233.8	220.35	244.31	252.42	227.07	0.9	1.02	0.94
YBL084C	CDC27	80.38	64.48	65.39	74.93	133.96	105.81	72.43	70.16	119.89	0.27	0.28	0.5
YBL083C	NA	244.85	196.84	196.84	187.24	62.41	64.81	220.84	192.04	63.61	0.82	0.78	0.26
YBL082C	ALG3	183.21	161.79	157.36	155.14	53.93	48.76	172.5	156.25	51.34	0.64	0.63	0.21
YBL081W	NA	222.72	149.42	169.15	123.11	41.35	39.47	186.07	146.13	40.41	0.69	0.59	0.17
YBL080C	PET112	53.36	53.98	52.74	52.74	90.59	51.5	53.67	52.74	71.04	0.2	0.21	0.29
YBL079W	NUP170	133.51	115.59	116.49	103.05	45.25	67.65	124.55	109.77	56.45	0.46	0.45	0.23
YBL078C	ATG8	228.14	327.95	327.95	265.21	1770.91	1117.87	278.04	296.58	1444.39	1.03	1.2	5.98
YBL077W	NA	1804.77	1434.5	1504.37	1339.03	409.86	200.27	1619.64	1421.7	305.07	5.98	5.77	1.26
YBL076C	ILS1	1050.82	941.28	982.08	955.09	182.67	167.6	996.05	968.59	175.14	3.68	3.93	0.73
YBL075C	SSA3	53.85	74.04	52.81	53.33	1330.08	1422.76	63.94	53.07	1376.42	0.24	0.22	5.7
YBL073W	NA	19.43	22.67	12.95	16.19	6.48	35.62	21.05	14.57	21.05	0.08	0.06	0.09
YBL074C	AAR2	35.87	37.76	23.6	18.88	27.37	52.86	36.81	21.24	40.11	0.14	0.09	0.17
YBL072C	RPS8A	8492.19	7497.61	7765.38	7688.88	2027.41	2409.95	7994.9	7727.13	2218.68	29.51	31.37	9.19
YBL071C-B	NA	40.85	40.85	10.21	10.21	0	10.21	40.85	10.21	5.11	0.15	0.04	0.02
YBL071W-A	KTI11	175.21	114.09	69.27	81.49	73.34	32.6	144.65	75.38	52.97	0.53	0.31	0.22
YBL071C	NA	130.77	134.04	120.96	55.58	35.96	35.96	132.41	88.27	35.96	0.49	0.36	0.15
YBL069W	AST1	117.79	139.77	114.64	95.01	69.1	62.82	128.78	104.83	65.96	0.48	0.43	0.27
YBL070C	NA	63.03	100.84	72.48	63.03	25.21	37.82	81.93	67.75	31.51	0.3	0.28	0.13
YBL068W-A	NA	200.46	166.34	149.28	123.69	140.75	72.51	183.4	136.48	106.63	0.68	0.55	0.44
YBL068W	PRS4	225.39	153.34	167.75	125.56	39.11	22.64	189.37	146.66	30.87	0.7	0.6	0.13
YBL067C	UBP13	154.05	137.43	117.22	104.2	87.13	92.52	145.74	110.71	89.82	0.54	0.45	0.37
YBL065W	NA	8.8	32.27	20.54	8.8	46.94	26.41	20.54	14.67	36.67	0.08	0.06	0.15
YBL066C	SEF1	40.83	50.52	39.65	45.53	26.14	39.07	45.67	42.59	32.6	0.17	0.17	0.14
YBL064C	PRX1	477.27	657.38	670.24	626.5	2607.63	1981.13	567.32	648.37	2294.38	2.09	2.63	9.51
YBL063W	KIP1	69.96	74.81	58.76	54.82	58.15	42.1	72.39	56.79	50.13	0.27	0.23	0.21
YBL062W	NA	422.3	411.75	417.02	332.56	353.68	248.1	417.02	374.79	300.89	1.54	1.52	1.25
YBL061C	SKT5	263.24	256.49	228.04	211.17	174.05	178.38	259.86	219.61	176.22	0.96	0.89	0.73
YBL060W	YEL1	66.25	70.17	64.78	44.66	61.83	31.41	68.21	54.72	46.62	0.25	0.22	0.19
YBL059C-A	NA	332.49	271.48	305.03	219.62	549.06	289.78	301.98	262.33	419.42	1.11	1.06	1.74
YBL059W	NA	62.77	74.97	76.72	52.31	99.38	27.9	68.87	64.51	63.64	0.25	0.26	0.26
YBL058W	SHP1	423.21	421.61	527.22	480.02	796.03	715.22	422.41	503.62	755.63	1.56	2.04	3.13
YBL057C	PTH2	267.48	231.51	237.76	181.45	312.85	176.76	249.49	209.61	244.8	0.92	0.85	1.01
YBL056W	PTC3	959.11	991.51	910.86	904.38	1071.43	707.81	975.31	907.62	889.62	3.6	3.68	3.69
YBL055C	NA	138.01	123.57	97.89	85.85	48.95	33.7	130.79	91.87	41.32	0.48	0.37	0.17
YBL054W	NA	85.98	42.35	23.74	15.4	10.27	3.85	64.16	19.57	7.06	0.24	0.08	0.03
YBL053W	NA	318.15	248.64	307.45	245.96	165.76	64.16	283.39	276.71	114.96	1.05	1.12	0.48
YBL052C	SAS3	227.43	178.23	189.53	171.38	88.71	57.26	202.83	180.45	72.99	0.75	0.73	0.3
YBL051C	PIN4	962.68	972.26	817.95	887.04	511.85	585.48	967.47	852.5	548.66	3.57	3.46	2.27
YBL050W	SEC17	474.69	495.48	518.58	490.86	786.53	579.79	485.08	504.72	683.16	1.79	2.05	2.83
YBL049W	MOH1	67.97	128.67	46.13	70.4	121.38	104.39	98.32	58.26	112.89	0.36	0.24	0.47
YBL048W	NA	67.62	74.06	48.3	54.74	103.05	80.5	70.84	51.52	91.78	0.26	0.21	0.38
YBL047C	EDE1	306.02	362.1	350.4	356.74	255.79	385.02	334.06	353.57	320.4	1.23	1.44	1.33
YBL046W	PSY4	117.5	76.03	91.39	96.77	109.82	108.29	96.77	94.08	109.06	0.36	0.38	0.45
YBL045C	COR1	939.57	969.79	1018.42	1302.87	1463.52	1551.22	954.68	1160.65	1507.37	3.52	4.71	6.25
YBL044W	NA	5.52	2.76	0	5.52	5.52	16.56	4.14	2.76	11.04	0.02	0.01	0.05
YBL043W	ECM13	6.56	20.98	5.24	9.18	7.87	11.8	13.77	7.21	9.83	0.05	0.03	0.04
YBL042C	FUI1	356.75	491.12	317.75	319.33	41.63	27.4	423.93	318.54	34.52	1.56	1.29	0.14
YBL041W	PRE7	835.63	871.97	887.34	730.83	1551.09	994.93	853.8	809.08	1273.01	3.15	3.28	5.27
YBL040C	ERD2	682.3	544.62	582.87	501.78	1252.93	616.52	613.46	542.33	934.73	2.26	2.2	3.87
YBL039W-B	NA	173.87	145.83	201.92	179.48	431.88	252.4	159.85	190.7	342.14	0.59	0.77	1.42
YBL039C-A	NA	433.52	192.67	264.93	168.59	12.04	36.13	313.1	216.76	24.08	1.16	0.88	0.1
YBL039C	URA7	521.17	227.25	301.46	249.86	22.03	6.38	374.21	275.66	14.2	1.38	1.12	0.06
YBL038W	MRPL16	308.16	334.32	356.13	364.85	421.54	266	321.24	360.49	343.77	1.19	1.46	1.42
YBL037W	APL3	88.27	83.02	78.75	74.48	62.67	46.59	85.64	76.62	54.63	0.32	0.31	0.23
YBL036C	NA	419.98	354.97	365.37	297.76	399.18	274.35	387.47	331.56	336.76	1.43	1.35	1.4
YBL035C	POL12	118.37	94.98	91.17	75.41	20.05	11.46	106.68	83.29	15.75	0.39	0.34	0.07
YBL034C	STU1	45.75	45.08	42.64	42.42	27.54	34.42	45.42	42.53	30.98	0.17	0.17	0.13
YBL033C	RIB1	158.81	196.81	174.4	177.32	238.7	181.22	177.81	175.86	209.96	0.66	0.71	0.87
YBL032W	HEK2	595.77	533.71	604.63	539.03	376.79	275.72	564.74	571.83	326.25	2.08	2.32	1.35
YBL031W	SHE1	108.39	99.44	73.59	81.54	80.55	50.71	103.92	77.56	65.63	0.38	0.31	0.27
YBL030C	PET9	1967.46	1760.02	2417.25	2823.65	2525.2	1973.81	1863.74	2620.45	2249.5	6.88	10.64	9.32
YBL029C-A	NA	234.35	209.5	344.43	284.07	766.98	390.59	221.93	314.25	578.78	0.82	1.28	2.4
YBL029W	NA	149.85	168.02	129.87	108.08	79.01	67.21	158.93	118.97	73.11	0.59	0.48	0.3
YBL028C	NA	581.93	240.91	287.84	334.77	28.16	18.77	411.42	311.3	23.46	1.52	1.26	0.1
YBL027W	RPL19B	8229.33	6933.33	7453.33	6074.67	1168	1061.33	7581.33	6764	1114.67	27.99	27.46	4.62
YBL026W	LSM2	707.44	608.89	591.29	612.41	471.62	232.29	658.16	601.85	351.96	2.43	2.44	1.46
YBL025W	RRN10	120.64	85.84	85.84	83.52	69.6	44.08	103.24	84.68	56.84	0.38	0.34	0.24
YBL024W	NCL1	481.03	315.43	379	316.9	85.26	42.88	398.23	347.95	64.07	1.47	1.41	0.27
YBL023C	MCM2	90.61	81.7	78.6	73.96	69.7	65.05	86.15	76.28	67.37	0.32	0.31	0.28
YBL022C	PIM1	259.82	211.47	248.84	225.71	277.61	297.19	235.65	237.28	287.4	0.87	0.96	1.19
YBL021C	HAP3	120.67	88.18	118.35	85.86	113.71	64.98	104.43	102.11	89.34	0.39	0.41	0.37
YBL020W	RFT1	142.22	127	112.96	117.05	62.04	45.65	134.61	115	53.84	0.5	0.47	0.22
YBL019W	APN2	49.91	83.62	53.16	48.62	110.2	84.92	66.77	50.89	97.56	0.25	0.21	0.4
YBL018C	POP8	195.49	125.31	162.91	140.35	82.71	7.52	160.4	151.63	45.11	0.59	0.62	0.19
YBL017C	PEP1	257.05	313.83	257.05	239.67	114.22	147.45	285.44	248.36	130.84	1.05	1.01	0.54
YBL016W	FUS3	363.71	378.98	351.3	290.2	103.1	65.87	371.35	320.75	84.48	1.37	1.3	0.35
YBL015W	ACH1	115.61	153.5	145.15	177.91	581.25	454.72	134.55	161.53	517.98	0.5	0.66	2.15
YBL014C	RRN6	87.93	62	54.86	56.74	46.97	34.57	74.97	55.8	40.77	0.28	0.23	0.17
YBL013W	FMT1	16.85	21.06	15.16	22.74	14.32	24.43	18.95	18.95	19.37	0.07	0.08	0.08
YBL011W	SCT1	226.33	250.48	220.07	199.49	242.88	258.98	238.41	209.78	250.93	0.88	0.85	1.04
YBL012C	NA	98.41	141.31	113.55	111.03	93.37	143.83	119.86	112.29	118.6	0.44	0.46	0.49
YBL010C	NA	133.74	102.7	91.95	94.34	75.23	76.43	118.22	93.14	75.83	0.44	0.38	0.31
YBL009W	ALK2	115.93	99.01	102.99	83.09	27.86	16.92	107.47	93.04	22.39	0.4	0.38	0.09
YBL008W-A	NA	8.4	4.2	4.2	4.2	8.4	8.4	6.3	4.2	8.4	0.02	0.02	0.03
YBL008W	HIR1	54.61	46.58	48.18	34.13	38.95	22.89	50.59	41.16	30.92	0.19	0.17	0.13
YBL007C	SLA1	267.19	305.4	288.87	278.03	301.33	400.24	286.29	283.45	350.79	1.06	1.15	1.45
