#ORF	TR 1 (mol/min)	TR 2 (mol/min)	TR 3 (mol/min)	TR 4 (mol/min)	TR 5 (mol/min)	RA T1 (mol/cel)	RA T2 (mol/cel)	RA T3 (mol/cel)	RA T4 (mol/cel)	RA T5 (mol/cel)
orf	tr.1	tr.2	tr.3	tr.4	tr.5	ra.1	ra.2	ra.3	ra.4	ra.5
YAL021C	0.075846755	0.115187988	0.123508009	0.041499556	0.126573318	4.273927845	5.901929572	5.639224606	4.067829287	4.973165954
YAL022C	0.067127179	NA	0.037658603	0.064536261	0.117474239	1.74392766	NA	1.231099239	3.258634209	4.535508404
YAL023C	0.158260409	0.189461776	0.178673746	0.109978372	0.163719923	3.544680362	4.199822798	5.00338746	4.384201568	3.481124938
YAL024C	0.063757338	0.066657886	0.065122966	0.05984208	0.070060958	1.173451464	1.369252029	1.429687528	1.188699908	1.441687069
YAL025C	0.383038694	0.314420549	0.295045992	0.404765598	0.20210352	22.38990659	23.94647005	23.33186211	21.39664249	16.52298125
YAL026C	NA	NA	NA	NA	NA	NA	3.172764478	NA	NA	NA
YAL027W	0.047884083	0.042595913	0.051479123	0.048191343	0.051338478	0.756567647	NA	0.432824213	0.68019565	1.075258334
YAL028W	0.050354819	0.087357001	0.124924163	0.090987693	0.055592557	2.373030664	1.790222741	1.392454171	2.041940538	1.383598125
YAL029C	0.053132683	NA	0.058301468	0.056960341	0.068366718	1.965543469	2.456617412	2.004701847	2.267104894	2.048193296
YAL030W	0.054027298	0.061988252	0.062514238	0.058035116	0.078969571	NA	1.124943373	1.042732611	1.194123942	1.268388324
YAL031C	0.040253637	0.054669325	0.0517709	0.038951964	0.057051355	0.839609442	1.18192634	1.20479718	0.892364483	1.207436714
YAL032C	NA	NA	0.060695792	0.05131789	0.061406286	6.385706184	9.225305075	7.645445805	8.433125629	9.448369975
YAL033W	0.074880111	0.065866745	0.07174707	0.066700575	0.061792782	3.432443602	2.531780601	4.240900265	NA	2.910570435
YAL034C	0.056611687	0.068810522	0.04328858	0.077058107	0.067024963	1.537596236	2.145910879	1.518756006	2.53258994	2.007934694
YAL034W-A	0.169603227	0.212407187	0.157104351	0.161147582	0.169311444	2.660870203	3.360965593	2.531234872	2.786184203	2.830436215
YAL035W	0.211571535	0.202596179	0.199475454	0.141015448	0.194243552	13.24801488	13.10022963	13.28664565	9.588402036	13.22591521
YAL036C	0.066252533	0.060682953	0.060263025	0.053895868	0.046410637	3.614758519	4.950268821	5.057061264	4.146552693	3.904898196
YAL037C-B	1.322052914	1.129490359	0.724144665	0.959670932	1.268361192	113.4107679	118.2917371	110.3996548	146.9703013	82.55547299
YAL037W	0.021474165	0.017300768	0.020914155	0.019700505	0.01569949	NA	NA	NA	NA	NA
YAL038W	0.411252997	NA	0.464637666	0.478588521	0.591986241	116.3823105	193.5362387	168.1094329	197.2310095	127.9373038
YAL039C	0.109083205	0.114443492	0.095970897	0.074490477	0.128714729	NA	0.895121881	1.068892957	1.24921686	0.707715952
YAL040C	0.093798757	0.107892845	0.082902233	0.107037303	0.102445159	5.13399923	6.317931977	5.875317503	4.996760904	4.957208923
YAL041W	0.065026276	0.071936935	0.069108175	0.05136886	0.073318951	2.576690731	2.828429171	3.229302567	2.189299352	2.747475483
YAL042W	0.138170884	0.173322945	0.132544304	0.153131017	0.141597107	2.890228461	3.082373352	2.937389651	3.2109535	2.905025982
YAL043C	0.069504958	0.09822811	0.085039202	0.040222674	0.08887465	1.763059996	2.404756181	2.825224136	2.072302014	2.346161298
YAL044C	0.08244395	0.085754546	0.097558152	0.081723174	0.090701217	2.266694906	2.044644324	2.53718743	2.203803303	2.655183002
YAL044W-A	0.074529406	NA	NA	NA	NA	6.945573352	5.468008164	5.25405317	4.523178994	7.550645789
YAL045C	0.096366115	0.075045075	0.076943448	0.093152003	0.074269592	5.226793013	5.337184417	4.566084841	5.159394255	4.421094544
YAL046C	0.100926927	0.097314759	0.140535434	0.099066357	0.123048832	2.065975106	5.904500631	2.550060883	NA	1.953890636
YAL047C	0.027653143	NA	0.032400157	0.026505494	0.034636125	0.531378988	0.807510717	0.607518349	0.620140067	0.693487207
YAL047W-A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL048C	0.041730973	0.046721574	0.037889014	0.042460363	0.045225214	0.49331203	0.701262878	0.738144338	0.521829398	0.635565578
YAL049C	0.078462056	0.077772588	0.077093486	0.06770361	0.062534575	1.809043486	1.612709933	1.854784359	1.616456325	1.238519162
YAL051W	0.034154415	0.025967251	0.029589046	0.031482417	0.03327469	1.746076657	2.456046364	2.872449523	2.473507216	2.421216072
YAL053W	0.060824374	NA	0.053681569	0.061429111	0.057064429	2.203130749	1.951042591	2.084481707	2.775650264	2.20181665
YAL054C	0.026302618	0.034583688	0.030084358	0.021543072	0.029100963	NA	0.131394064	0.089657863	0.098699541	0.121345955
YAL055W	0.063731957	0.059617173	0.05925011	0.070339437	0.0630655	1.409587735	1.39379638	1.631172981	1.757273389	1.463253524
YAL056W	0.062880305	NA	0.05388307	0.042403337	0.043366998	0.748121349	0.327794998	0.786626678	NA	0.485768641
YAL058W	0.028592247	NA	0.029941903	NA	0.028502771	0.838906326	NA	0.972921316	NA	1.079222993
YAL059W	0.158686249	0.117111648	0.13399507	0.135162188	0.114840604	3.197625117	2.832295754	2.449182967	2.649191601	2.522855476
YAL060W	0.052696203	0.048372833	0.047764443	0.045509456	0.036149349	0.566744764	0.738814069	0.834999322	1.024796492	0.743922368
YAL061W	0.02850597	0.038365235	0.027241185	0.038197122	0.03717435	1.388732061	1.763420584	1.586012197	0.966996901	1.668030113
YAL062W	0.040327632	0.052518638	0.036524736	0.041936689	0.03916358	0.572327659	0.754988144	0.746301249	0.690467902	0.584707409
YAL064W-B	0.038387987	0.039916392	0.029179274	0.046428362	0.035169389	0.409256576	0.689240898	0.358294785	0.766245108	0.620014695
YAL065C	0.075939584	0.067462112	0.061523583	0.058753148	0.059522516	1.831878959	1.105828607	1.297916909	1.08466708	0.252826057
YAL066W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL067C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAR002C-A	0.070661656	0.073675218	0.063568072	0.064484254	0.068271552	1.22304014	1.46566114	1.518646308	1.492997885	1.592664713
YAR002W	0.101578658	0.099891048	0.102638515	0.092416839	0.110657599	4.95104569	6.765255055	7.527781566	6.204043655	7.819863062
YAR003W	0.053150536	0.056178407	0.052002728	0.052049209	0.056599177	NA	0.197354684	0.261126075	0.178076773	0.213049837
YAR007C	0.056304896	NA	0.062561467	0.051689802	0.068277765	1.550251262	2.122004322	1.912437749	1.488023901	1.778952042
YAR008W	0.019983703	0.02110371	0.019042658	0.01634198	0.017404901	1.477898303	1.906293001	1.755239228	1.665831053	1.39512866
YAR009C	NA	NA	NA	NA	NA	7.953373647	8.936907528	12.105753	8.485588245	8.817443307
YAR010C	0.012454584	0.014817944	0.012349259	0.016425915	0.017030827	17.82660682	23.70724867	17.93538218	29.25253092	20.97596928
YAR014C	0.101231735	0.121367015	0.110158558	0.087202247	0.085682283	1.704603124	3.800727153	3.249984062	2.033323665	2.86239741
YAR015W	0.122070767	0.102894351	0.083452901	0.121673536	0.092159831	2.691397272	3.712146192	3.064404112	3.635291937	2.602756082
YAR018C	0.0406388	0.045604992	0.04032796	0.038089468	0.047864269	0.690806883	0.980599064	0.740501883	0.761530119	0.871508207
YAR019C	0.018966958	NA	0.021235678	0.018361212	0.021091945	0.79080723	1.053412124	0.958268581	0.924393762	0.919035199
YAR020C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAR023C	0.060135576	0.073601598	0.080392683	0.052598074	0.076304505	10.95527673	6.952277665	4.414739463	6.386850494	8.436475263
YAR027W	0.097329737	0.104464663	0.061802301	0.117340534	0.101199227	1.19540007	1.125083799	1.163552453	1.250020755	1.298820263
YAR028W	0.148084909	0.137364934	0.136915181	0.164038859	0.149401218	0.687554949	0.607876666	0.647253138	0.56472176	0.483687817
YAR029W	0.148841317	0.157304526	0.132058746	0.126842933	0.111882746	1.707644318	1.980286672	2.289145045	2.042060248	1.594165613
YAR030C	0.023939229	0.023290311	0.031333849	0.020814516	0.024148615	NA	NA	NA	NA	NA
YAR031W	0.039488588	0.042274206	0.040377632	0.039797236	0.04089344	0.573806706	0.672713125	0.663032036	0.633809996	0.571332721
YAR033W	0.038701669	0.029623946	0.037592413	0.039635198	0.03674289	0.339145111	0.264294524	0.369294528	0.24713357	0.30391946
YAR035W	0.006697804	0.00896441	0.010666574	NA	0.009103429	NA	NA	NA	NA	NA
YAR042W	0.140812944	0.148990374	0.142329894	0.106314263	0.18384692	3.012806911	2.809067679	3.238944649	2.596508204	3.186639421
YAR044W	0.087866725	0.121280309	0.114406573	0.126887735	0.103757047	2.021577936	2.873397424	3.181444029	2.25766165	2.416166969
YAR047C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAR050W	0.05486018	0.070202774	0.057804737	0.053917069	0.063325966	0.119380002	0.161387996	0.130374487	0.128493792	0.149841407
YAR053W	NA	NA	NA	NA	NA	2.104910594	1.181301129	1.101252742	NA	1.190133104
YAR060C	0.028847307	0.022363122	0.031522062	0.025202819	0.030277571	NA	NA	NA	NA	NA
YAR061W	0.027666024	NA	0.022343869	NA	NA	NA	NA	NA	NA	NA
YAR062W	0.020292981	0.020572939	0.021331366	0.019591052	0.024221004	0.167936167	0.201895991	0.236986395	0.205149738	0.208360708
YAR064W	0.034442609	0.042854978	0.034325093	0.029231728	0.040391974	0.329833671	0.426540351	0.395228543	0.39210499	0.344730275
YAR068W	0.177427272	0.172711445	0.221563677	0.158026132	0.225934366	1.131764493	1.160848524	1.524916769	1.043057874	1.272112542
YAR069C	NA	NA	0.008626484	NA	NA	NA	0.435057681	0.443518011	NA	0.402546439
YAR070C	0.016325953	NA	0.014501203	0.01368661	0.012000547	0.278461216	NA	0.224690079	NA	0.211897374
YAR071W	0.040666081	NA	0.039691448	0.03015961	0.045280007	11.82069328	12.22356125	13.09654769	11.97362227	13.93183519
YAR073W	0.033000799	NA	0.033604877	0.037715658	0.032157261	1.028106598	1.358135875	2.027464717	1.159196749	1.467948372
YBL001C	0.114839002	0.090003535	0.088839288	0.096288653	0.079939027	5.082335545	3.585070151	3.382970846	3.579344975	3.280904634
YBL002W	0.42033772	0.35687264	0.377224778	0.396127742	0.35474705	23.0952131	25.43827146	15.70922763	10.46542527	15.29009403
YBL003C	0.60687231	0.366003885	0.49626827	0.45889811	0.405178796	4.027295652	1.886044036	2.446400004	2.143243228	2.857280414
YBL004W	0.182270867	0.16174345	0.152414168	0.166017318	0.174368786	1.333416216	1.73451478	1.302076314	1.411000576	1.616335576
YBL005W	0.055852649	0.068490809	0.063378784	0.061268908	0.073372662	1.336269386	1.67423885	1.657326335	1.547796444	1.579813912
YBL006C	0.207075012	0.194609227	0.185893566	0.214833927	0.172600064	3.776892411	3.169356322	3.29366571	3.369213906	3.237211936
YBL007C	0.127941383	0.154799451	0.149552096	0.137824375	0.159306023	4.510808564	4.880404567	6.839697214	4.858063467	4.81006017
YBL008W	0.0237189	0.027476578	0.027611604	0.011427623	0.029666566	0.641902393	0.861503762	0.952275597	0.838298383	1.040768215
YBL009W	0.034952096	0.035442041	0.033764475	0.033262097	0.035534648	1.574712287	1.613859524	1.284098385	1.351513948	1.532773729
YBL010C	0.035927924	0.03242064	0.040782026	0.032051814	0.036784178	2.008054753	2.276363626	2.47740519	2.104300044	2.553623811
YBL011W	0.04408833	0.06767258	0.071718313	0.060508931	0.07260365	0.997747336	1.660545982	1.853352408	1.400856607	1.796879754
YBL012C	0.067727227	0.057803344	0.073541665	0.074216064	0.066057073	0.694686977	0.886140176	0.94816513	0.831575502	1.053162396
YBL013W	0.032179158	NA	NA	NA	NA	NA	1.199733967	1.238075656	NA	0.982954894
YBL014C	0.077286131	0.082880254	0.081570173	0.073729716	0.098163815	1.654391702	1.772448272	1.699002418	1.696565666	1.468483537
YBL015W	0.046557058	NA	0.041838818	0.046125079	0.044819121	2.07962712	NA	2.315397271	NA	NA
YBL016W	0.065534478	0.072155697	0.058819697	0.050459202	0.065755248	3.207735125	3.469462826	3.008155297	3.55593484	2.77412496
YBL017C	0.059912809	NA	0.050918885	0.036235375	0.060384227	3.146408436	2.56408765	3.95951429	1.968143787	3.196226462
YBL018C	0.117499379	0.100552435	0.142407565	0.139075332	0.123189476	NA	NA	NA	NA	NA
YBL019W	0.029278787	0.03202412	0.027978034	0.030415968	0.036295134	NA	NA	0.213976313	NA	0.228496768
YBL020W	0.039231073	NA	0.040672121	0.031217124	0.048354023	0.492564785	0.573526826	0.635077465	0.258650924	0.419669956
YBL021C	0.152919179	0.157981975	0.168694878	0.180901821	0.177894161	1.362143222	1.234571567	1.152399471	1.284761805	1.87465705
YBL022C	0.044626336	0.044047609	0.041640281	0.03664025	0.046184269	5.395128725	4.78749717	6.411978771	6.694060575	4.087050851
YBL023C	0.06796428	0.073300917	0.075551237	0.067553637	0.098326134	0.678277165	0.998319773	1.177521204	0.810203516	1.264296689
YBL024W	0.172599276	0.156892755	0.148932913	0.156095001	0.187945541	2.724357064	2.750297795	2.350089176	2.390638448	2.646885701
YBL025W	0.089544019	0.079106862	0.095115276	0.103010765	0.07644	0.909339626	0.88331384	0.944148547	0.891224081	0.951157285
YBL026W	0.077896503	0.06355553	0.079462408	0.077548308	0.116324616	2.993244879	2.445508152	1.874733852	1.588753787	3.00363524
YBL027W	0.450885894	0.4356589	0.367666575	0.384970255	0.420976089	29.16454891	30.96109885	24.01286858	28.19916188	24.68062831
YBL028C	0.180699735	0.160145985	0.246359448	0.179076687	0.304416391	6.028905657	6.106715237	5.388011012	3.228635052	6.492017092
YBL029C-A	0.091533926	NA	0.10387507	0.067344569	0.091788928	NA	NA	NA	NA	NA
YBL029W	NA	NA	NA	NA	NA	NA	NA	4.516192216	NA	NA
YBL030C	0.081852407	0.072533125	0.064352313	0.059022535	0.072993227	1.756179917	1.959003474	1.803987482	1.720655652	1.687072291
YBL031W	0.024117088	0.028560646	0.028679169	0.021040143	0.023601269	2.359826676	2.66048448	2.89846582	2.519277805	2.266627757
YBL032W	0.123020006	0.114883327	0.111333953	0.1014787	0.11682505	3.436707086	3.678739522	3.459619316	3.620640219	3.502532802
YBL033C	0.140423117	0.172932095	0.145329236	0.064384838	0.151448762	1.539581231	2.753092441	3.309395585	2.027947557	3.041225319
YBL034C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YBL035C	0.066874781	0.0526781	0.064129414	0.05609468	0.056448443	1.366048936	1.479651103	1.318501949	1.29586188	1.601215489
YBL036C	0.113882078	0.102212608	0.111982002	0.093305664	0.115231315	2.52186721	2.230322493	2.886286588	2.249515374	2.158289922
YBL037W	0.031701038	0.031338381	0.034581445	0.030447182	0.036860811	2.490581932	3.312300138	3.596315944	3.68314021	3.918296995
YBL038W	0.070199497	0.072328092	0.076392581	0.060468193	0.089206696	2.507247969	2.360064978	0.70478764	1.497674145	1.696500865
YBL039C	0.161769515	NA	0.097433467	0.195560024	0.14067916	6.51582341	6.868261904	7.343637781	11.20230556	8.074605748
YBL040C	0.079992464	0.067037001	0.090332062	0.076523643	0.090866526	0.670559442	0.779851809	0.872964249	0.75812925	0.909717467
YBL041W	0.263671282	0.209510265	0.247355773	0.251501776	0.231913639	5.679795044	5.736974558	5.119521646	5.840241433	5.518409448
YBL042C	0.219964745	0.164601188	0.230484424	0.155115003	0.19081668	0.604713132	0.467393961	0.500719472	0.448733719	0.47262487
YBL043W	0.106483559	0.085291423	0.087662655	0.095534507	0.075645109	1.452249608	0.873625255	1.215782172	1.323279158	1.411020966
YBL044W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YBL045C	0.027023335	0.033443022	0.031974002	0.028931618	0.033243621	3.020852388	3.613980936	3.697013167	3.200194623	3.639000293
YBL046W	0.066797481	0.073091962	0.056631654	0.064416055	0.067153632	1.594345946	2.202357041	2.043937103	1.908017417	1.924838947
YBL047C	0.262759143	0.218154752	0.219023748	0.192645006	0.213440906	6.153061038	7.820756307	10.03315698	6.742503719	6.796251626
YBL048W	0.048859941	NA	0.057965619	0.043747373	0.04712345	NA	NA	NA	NA	NA
YBL049W	0.04164455	0.05483446	0.057296377	0.050604993	0.061001279	NA	NA	0.26402274	0.27133392	NA
YBL050W	0.028208678	0.030235439	0.027451977	0.028613676	0.02220216	5.599992398	5.158861094	5.778203979	6.088101021	4.925311512
YBL051C	0.080569535	0.078039084	0.080741181	0.08782236	0.093487673	16.95146086	18.04571121	23.27598705	20.43033779	21.1441802
YBL052C	0.056145467	0.051661072	0.059550073	0.054081056	0.065127029	2.427866125	2.554539977	3.134204306	2.72325223	3.050198439
YBL053W	0.088813875	0.080638536	0.098391548	0.102086193	0.112961892	2.810293609	2.444680142	2.898667434	2.396037035	2.276906898
YBL054W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YBL055C	0.10449044	0.114764485	0.097522528	0.112872005	0.112808075	0.589186621	0.565693639	0.570898473	0.580052205	0.628697615
YBL056W	0.11380782	NA	0.125177088	0.128080273	0.145264003	2.751615931	2.932566659	3.231175117	2.459866842	3.519968628
YBL057C	0.138785881	0.116681737	0.13036511	0.123262318	0.137457108	1.59756142	1.874002734	2.003940307	1.929311959	1.702278565
YBL058W	0.217051082	0.258083987	0.202879173	0.239022066	0.241680531	2.962886092	3.758700695	3.430478976	3.728424696	3.570871137
YBL059W	0.102709444	0.079547354	0.094243667	0.089636071	0.077568788	1.775431601	1.620595126	1.530182643	1.677835885	1.532812782
YBL060W	0.048736922	0.043866943	0.046589533	0.042612048	0.052892862	0.901119223	0.822541151	1.078316502	0.941382042	0.981933647
YBL061C	0.054551891	0.059880981	0.049695427	0.042866932	0.064601474	1.685810189	2.866784801	2.631521886	1.981912292	2.94992181
YBL062W	0.07394909	0.064749299	0.087790223	0.077416554	0.068765755	1.571441206	1.550207323	1.88358203	1.578267642	1.629648009
YBL063W	0.04842802	0.057392865	0.055977239	0.053762623	0.05486827	1.493053008	2.068053472	2.011119899	1.825329666	2.230218966
YBL064C	0.020384212	0.024695584	0.026745516	0.021619205	0.022996226	NA	NA	0.383901029	NA	NA
YBL065W	0.057450708	0.035565293	0.046002355	0.037638548	0.029881207	NA	NA	NA	NA	NA
YBL066C	0.046130464	0.055782317	0.045382947	0.042948063	0.049338906	2.220840205	2.666525249	2.450468001	2.014913681	2.367086864
YBL067C	0.058584652	NA	0.061415087	0.056323127	0.06882634	1.876223346	2.133688104	2.033694497	1.877595405	1.868123112
YBL068W	0.040053417	0.030886592	0.036765353	0.032691776	0.0326432	1.424922858	1.667731379	1.662328611	1.472418087	1.965455369
YBL069W	0.111398284	0.109488563	0.102985904	0.093695606	0.103662942	0.728085327	0.909088415	1.775923952	1.22878214	1.499857417
YBL070C	0.081474578	0.06751256	0.055857468	0.057241055	0.047089869	1.24386863	1.223728944	0.896940147	NA	0.87024232
YBL071C	0.034289872	NA	0.043351627	0.027499308	0.029197443	0.983457925	0.619535196	NA	0.573075431	0.602199971
YBL071W-A	0.083648369	0.065440154	0.079336735	0.070708342	0.061936264	10.0065432	3.362404862	5.174355715	4.70807375	3.865678139
YBL072C	0.317674902	0.337118081	0.269542526	0.363405074	0.409445385	24.32169204	23.46525461	18.11471922	25.15991231	19.07150848
YBL073W	0.041919495	0.043663746	0.045218607	0.043770675	0.04578584	0.65850465	0.856875243	0.631689641	0.431278904	0.522043625
YBL074C	0.049691841	0.042228766	0.042739532	0.041169139	0.033234872	0.704252499	0.783359596	0.784237582	0.593618021	0.480065009
YBL075C	0.052651746	0.072736958	0.067773923	0.049203816	0.052877511	0.62791539	1.190179568	1.069491945	0.626935148	1.005572061
YBL076C	0.06886837	0.063562028	0.071791785	0.06261673	0.065285514	8.091327282	8.912176029	9.226964772	8.00715116	8.100223835
YBL077W	0.182778593	0.146529915	0.177804948	0.196478654	0.165980052	5.561094703	5.303114379	4.505096593	4.193476952	4.536533874
YBL078C	0.057557779	0.081330264	0.07251352	0.059723374	0.068028962	1.424164762	1.631166557	1.366071285	1.139030337	1.807069572
YBL079W	0.075067583	0.077097881	0.072692706	0.078693831	0.092179347	3.177217739	4.852501924	4.164275651	3.813434185	4.320795705
YBL080C	0.033910787	0.035516435	0.033319147	0.030807582	0.036218705	0.303029867	NA	0.29954046	0.288046767	0.288472415
YBL081W	0.078963374	0.101640657	0.072366167	0.076995603	0.127324785	4.721474843	6.765003601	7.420096946	5.539088065	5.975774792
YBL082C	0.03659653	0.037836882	0.033178811	0.034100389	0.037141128	0.228199016	0.267539413	0.271054703	0.291113611	0.215783683
YBL083C	0.021080617	0.024756446	0.024823406	0.022422583	0.027588175	0.632601453	0.530043593	0.582964019	0.517602437	0.543063899
YBL085W	0.520031819	0.488325146	0.465370334	0.295455353	0.523605245	8.112793403	5.605809774	7.459668247	5.211992629	9.138634186
YBL086C	0.03874942	NA	0.039387038	0.046887274	0.055726107	1.033760873	1.353752786	1.489064384	1.185849846	1.421094804
YBL087C	0.419823048	0.408742572	0.458045999	0.378485962	0.440800775	7.005455958	7.683892568	7.634103801	8.370975542	7.998531483
YBL088C	0.074697876	0.06461537	0.059338448	0.055941846	0.071762405	0.3139702	0.35827981	0.330864965	0.356054623	0.517405879
YBL089W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YBL090W	0.104535582	0.108961104	0.117366213	0.115325087	0.108443127	0.687419142	0.920818674	0.884839897	1.125742538	1.032523142
YBL091C	0.041784569	0.035471339	0.037683593	0.03492629	0.03585627	6.355077096	7.463433444	7.41899511	8.089929075	5.920041211
YBL091C-A	0.580417094	0.355227868	0.507860022	0.52858837	0.364573672	NA	NA	NA	NA	NA
YBL092W	0.606826148	0.289567539	0.360684241	0.321243659	0.245636364	31.73877259	27.98976391	20.26146891	30.30695804	22.95148142
YBL093C	0.233516968	0.247611978	0.187609163	0.208201734	0.194597186	4.184549198	4.754170211	3.77293151	3.83355165	3.91784346
YBL094C	0.068663439	0.06658011	0.100484083	0.064097013	0.099677657	0.471224776	0.494386061	0.588535294	0.402202716	0.584426661
YBL095W	0.120782871	0.122879998	0.120209219	0.105474019	0.112680652	0.34794443	0.436439719	0.538089492	0.405323217	0.39949899
YBL096C	0.155092346	0.163929708	0.209332991	0.164025104	0.178686718	1.419381687	0.896304695	0.969309502	0.805388527	0.680264479
YBL097W	NA	NA	NA	NA	NA	NA	NA	3.152220178	NA	3.337199588
YBL098W	NA	NA	0.011249415	NA	0.010523853	NA	NA	NA	NA	0.227167671
YBL099W	0.119199829	0.116093685	0.154047093	0.119961333	0.225534979	6.059953613	5.411210481	6.489261867	5.926545411	5.778612217
YBL100C	0.072745221	0.089627085	0.089951246	0.080462679	0.096442348	0.672589279	0.975848769	1.093017406	0.662368783	0.772460068
YBL101C	0.069495395	0.071365105	0.063677652	0.057393011	0.063790184	4.429377728	4.882450148	5.17781205	4.145913073	4.367427569
YBL102W	0.054320955	0.04800336	0.05062317	0.047953903	0.045962053	0.919551955	0.80386523	0.888901798	0.844110626	0.874054034
YBL103C	0.049984379	0.053913012	0.056553247	0.048530952	0.054986211	2.223018115	2.335371856	2.69818331	2.01344573	2.568427768
YBL104C	0.030053268	0.032895127	0.034295424	0.029974584	0.032109416	1.183784588	1.631720197	1.480303858	1.64842691	1.469298608
YBL105C	0.08806826	0.088252519	0.096609374	0.090508894	0.097590672	3.14793357	3.310277904	3.207771411	3.240072018	2.886791469
YBL106C	0.028638152	0.02519375	0.031554641	0.025953154	0.027495141	NA	NA	0.736053672	NA	NA
YBL107C	0.084627625	0.072026306	0.071343753	0.079586907	0.083283373	2.314209676	2.311751643	2.634577402	2.484499927	2.843219237
YBR001C	0.045700836	0.050476094	0.049084244	0.04347738	0.054909033	0.646089185	1.080573315	1.019410083	0.667891971	0.865333328
YBR002C	0.138084609	0.141911655	0.134487297	0.125638678	0.146727878	2.250676044	2.774883327	2.470501261	3.346100565	3.403367897
YBR003W	0.035487034	0.042283812	0.034300007	0.034987761	0.038537807	0.65120031	1.053852824	0.94069038	1.03326931	1.152704964
YBR004C	NA	NA	0.030747723	0.028874683	NA	1.011827001	0.868342347	NA	NA	0.841192811
YBR005W	0.239096539	0.261659211	0.098949841	0.189222314	0.264519203	NA	NA	0.438436725	NA	0.702025078
YBR006W	0.037740186	0.045181434	0.038552361	0.04233639	0.046522333	0.183050893	0.275293108	0.351040437	0.33184952	0.302962983
YBR007C	0.05384476	0.055553646	0.048885977	0.055051238	0.061494172	1.800307492	1.631994247	1.74151108	1.647945141	1.93001551
YBR008C	0.04732745	0.036861555	0.042383078	0.038204373	0.066837562	NA	NA	NA	NA	NA
YBR009C	0.886093098	0.876223483	0.888350598	1.074470684	1.086821798	17.02108124	13.1692789	10.3806691	12.95683386	16.96525351
YBR010W	1.104512882	1.282660328	1.126311277	1.229178666	1.170435074	20.17599889	21.64363346	21.13008501	21.33068908	24.09320235
