# Velculescu et al. 1997, via Lu et al. 2007
orf	sage
YBL029C-A	NA
YBL029W	NA
YBL030C	6
YBL031W	NA
YBL032W	NA
YBL033C	NA
YBL034C	NA
YBL035C	NA
YBL036C	NA
YBL037W	NA
YBL038W	2
YBL039C	2
YBL040C	3
YBL041W	4
YBL042C	NA
YBL043W	NA
YBL044W	NA
YBL045C	NA
YBL046W	NA
YBL047C	5
YBL048W	1
YBL049W	NA
YBL050W	1
YBL051C	2
YBL052C	NA
YBL053W	NA
YBL054W	NA
YBL055C	1
YBL056W	1
YBL057C	1
YBL058W	4
YBL059C-A	NA
YBL059W	NA
YBL060W	1
YBL061C	NA
YBL062W	NA
YBL063W	NA
YBL064C	3
YBL065W	NA
YBL066C	NA
YBL067C	3
YBL068W	2
YBL069W	NA
YBL070C	NA
YBL071C	NA
YBL071W-A	NA
YBL072C	1
YBL073W	1
YBL074C	NA
YBL075C	2
YBL076C	2
YBL077W	NA
YBL078C	NA
YBL079W	1
YBL080C	NA
YBL081W	NA
YBL082C	4
YBL083C	NA
YBL084C	NA
YBL085W	NA
YBL086C	NA
YBL087C	NA
YBL088C	2
YBL089W	NA
YBL090W	NA
YBL091C	3
YBL091C-A	1
YBL092W	44
YBL093C	NA
YBL094C	1
YBL095W	NA
YBL096C	NA
YBL097W	NA
YBL098W	NA
YBL099W	3
YBL100C	NA
YBL101C	NA
YBL101W-A	NA
YBL101W-B	NA
YBL102W	3
YBL103C	NA
YBL104C	1
YBL105C	NA
YBL106C	NA
YBL107C	2
YBL107W-A	1
YBL108C-A	NA
YBL108W	NA
YBL109W	NA
YBL111C	NA
YBL112C	NA
YBL113C	NA
YBR001C	NA
YBR002C	1
YBR003W	NA
YBR004C	3
YBR005W	9
YBR006W	NA
YBR007C	1
YBR008C	NA
YBR009C	NA
YBR010W	NA
YBR012C	NA
YBR012W-A	NA
YBR012W-B	NA
YBR013C	NA
YBR014C	NA
YBR015C	NA
YBR016W	3
YBR017C	3
YBR018C	NA
YBR019C	NA
YBR020W	NA
YBR021W	NA
YBR022W	NA
YBR023C	3
YBR024W	1
YBR025C	9
YBR026C	NA
YBR027C	NA
YBR028C	NA
YBR029C	2
YBR030W	NA
YBR031W	NA
YBR032W	NA
YBR033W	2
YBR034C	1
YBR035C	2
YBR036C	3
YBR037C	NA
YBR038W	1
YBR039W	NA
YBR040W	NA
YBR041W	3
YBR042C	1
YBR043C	1
YBR044C	NA
YBR045C	NA
YBR046C	NA
YBR047W	NA
YBR048W	NA
YBR049C	NA
YBR050C	NA
YBR051W	NA
YBR052C	2
YBR053C	2
YBR054W	1
YBR055C	3
YBR056W	6
YBR057C	NA
YBR058C	NA
YBR058C-A	NA
YBR059C	NA
YBR060C	NA
YBR061C	NA
YBR062C	NA
YBR063C	NA
YBR064W	NA
YBR065C	NA
YBR066C	NA
YBR067C	6
YBR068C	9
YBR069C	NA
YBR070C	NA
YBR071W	1
YBR072W	NA
YBR073W	1
YBR074W	NA
YBR075W	NA
YBR076W	1
YBR077C	2
YBR078W	60
YBR079C	4
YBR080C	1
YBR081C	NA
YBR082C	18
YBR083W	NA
YBR084C-A	19
YBR084W	7
YBR085C-A	NA
YBR085W	1
YBR086C	1
YBR087W	2
YBR088C	NA
YBR089C-A	NA
YBR089W	NA
YBR090C	NA
YBR091C	2
YBR092C	NA
YBR093C	1
YBR094W	1
YBR095C	1
YBR096W	1
YBR097W	1
YBR098W	NA
YBR099C	NA
YBR100W	NA
YBR101C	NA
YBR102C	NA
YBR103C-A	NA
YBR103W	2
YBR104W	NA
YBR105C	1
YBR106W	5
YBR107C	NA
YBR108W	NA
YBR109C	NA
YBR110W	NA
YBR111C	NA
YBR112C	3
YBR113W	NA
YBR114W	NA
YBR115C	NA
YBR116C	NA
YBR117C	NA
YBR118W	1
YBR119W	1
YBR120C	NA
YBR121C	19
YBR122C	NA
YBR123C	NA
YBR124W	NA
YBR125C	NA
YBR126C	2
YBR127C	12
YBR128C	1
YBR129C	NA
YBR130C	NA
YBR131W	NA
YBR132C	1
YBR133C	2
YBR134W	NA
YBR135W	NA
YBR136W	NA
YBR137W	1
YBR138C	NA
YBR139W	1
YBR140C	NA
YBR141C	NA
YBR142W	1
YBR143C	16
YBR144C	NA
YBR145W	2
YBR146W	1
YBR147W	NA
YBR148W	1
YBR149W	7
YBR150C	NA
YBR151W	2
YBR152W	NA
YBR153W	1
YBR154C	6
YBR155W	NA
YBR156C	NA
YBR157C	NA
YBR158W	1
YBR159W	NA
YBR160W	1
YBR161W	NA
YBR162C	28
YBR162W-A	NA
YBR163W	1
YBR164C	1
YBR165W	2
YBR166C	1
YBR167C	1
YBR168W	NA
YBR169C	1
YBR170C	1
YBR171W	3
YBR172C	1
YBR173C	4
YBR174C	NA
YBR175W	1
YBR176W	NA
YBR177C	2
YBR178W	NA
YBR179C	NA
YBR180W	NA
YBR181C	NA
YBR182C	NA
YBR183W	2
YBR184W	NA
YBR185C	3
YBR186W	NA
YBR187W	3
YBR188C	1
YBR189W	1
YBR190W	NA
YBR191W	64
YBR191W-A	NA
YBR192W	1
YBR193C	NA
YBR194W	NA
YBR195C	NA
YBR197C	NA
YBR198C	NA
YBR199W	NA
YBR200W	NA
YBR201W	NA
YBR202W	NA
YBR203W	NA
YBR204C	NA
YBR205W	1
YBR206W	4
YBR207W	1
YBR208C	1
YBR209W	NA
YBR210W	NA
YBR211C	NA
YBR212W	1
YBR213W	1
YBR214W	3
YBR215W	NA
YBR216C	1
YBR217W	1
YBR218C	2
YBR219C	1
YBR220C	NA
YBR222C	NA
YBR223C	NA
YBR224W	NA
YBR225W	NA
YBR226C	NA
YBR227C	NA
YBR228W	NA
YBR229C	1
YBR230C	NA
YBR231C	1
YBR232C	NA
YBR233W	NA
YBR233W-A	NA
YBR234C	7
YBR235W	NA
YBR236C	1
YBR237W	NA
YBR238C	NA
YBR239C	NA
YBR240C	NA
YBR241C	NA
YBR242W	2
YBR243C	2
YBR244W	2
YBR245C	2
YBR246W	3
YBR247C	NA
YBR248C	NA
YBR249C	9
YBR250W	NA
YBR251W	NA
YBR252W	NA
YBR253W	NA
YBR254C	1
YBR255C-A	NA
YBR255W	NA
YBR256C	2
YBR257W	NA
YBR258C	NA
YBR259W	1
YBR260C	NA
YBR261C	NA
YBR262C	NA
YBR263W	NA
YBR264C	NA
YBR265W	1
YBR266C	NA
YBR267W	1
YBR268W	1
YBR269C	NA
YBR270C	NA
YBR271W	NA
YBR272C	NA
YBR273C	2
YBR274W	1
YBR275C	NA
YBR276C	1
YBR277C	NA
YBR278W	1
YBR279W	NA
YBR280C	NA
YBR281C	2
YBR282W	3
YBR283C	NA
YBR284W	NA
YBR285W	1
YBR286W	12
YBR287W	8
YBR288C	NA
YBR289W	NA
YBR290W	NA
YBR291C	5
YBR292C	NA
YBR293W	2
YBR294W	NA
YBR295W	1
YBR296C	2
YBR297W	NA
YBR298C	NA
YBR299W	NA
YBR300C	NA
YBR301W	NA
YBR302C	NA
YCL001W	NA
YCL001W-A	NA
YCL001W-B	NA
YCL002C	1
YCL004W	NA
YCL005W	1
YCL007C	NA
YCL008C	1
YCL009C	5
YCL010C	NA
YCL011C	4
YCL014W	NA
YCL016C	1
YCL017C	1
YCL018W	74
YCL019W	NA
YCL020W	NA
YCL021W-A	NA
YCL022C	NA
YCL023C	NA
YCL024W	NA
YCL025C	3
YCL026C-A	NA
YCL027C-A	NA
YCL027W	NA
YCL028W	4
YCL029C	NA
YCL031C	NA
YCL032W	2
YCL033C	2
YCL034W	NA
YCL035C	4
YCL036W	NA
YCL037C	1
YCL038C	NA
YCL039W	NA
YCL040W	NA
YCL041C	NA
YCL042W	NA
YCL043C	19
YCL044C	NA
YCL045C	2
YCL046W	NA
YCL047C	NA
YCL048W	1
YCL049C	NA
YCL050C	1
YCL051W	NA
YCL052C	NA
YCL054W	NA
YCL055W	NA
YCL056C	NA
YCL057C-A	NA
YCL057W	2
YCL058C	1
YCL059C	4
YCL061C	NA
YCL063W	1
YCL064C	6
YCL065W	NA
YCL066W	NA
YCL067C	NA
YCL068C	NA
YCL069W	NA
YCL073C	NA
YCL076W	NA
YCR001W	NA
YCR002C	1
YCR003W	1
YCR004C	5
YCR006C	NA
YCR007C	NA
YCR008W	1
YCR009C	3
YCR010C	NA
YCR011C	1
YCR012W	223
YCR013C	20
YCR014C	1
YCR015C	1
YCR016W	NA
YCR017C	8
YCR018C	1
YCR018C-A	NA
YCR019W	NA
YCR020C	NA
YCR020C-A	5
YCR020W-B	1
YCR021C	11
YCR022C	NA
YCR023C	1
YCR024C	NA
YCR024C-A	3
YCR025C	NA
YCR026C	1
YCR027C	NA
YCR028C	1
YCR028C-A	7
YCR030C	2
YCR031C	64
YCR032W	NA
YCR033W	1
YCR034W	4
YCR035C	NA
YCR036W	2
YCR037C	1
YCR038C	NA
YCR038W-A	NA
YCR039C	NA
YCR040W	NA
YCR041W	NA
YCR042C	NA
YCR043C	2
YCR044C	NA
YCR045C	NA
YCR046C	NA
YCR047C	NA
YCR048W	NA
YCR049C	NA
YCR050C	NA
YCR051W	NA
YCR052W	3
YCR053W	7
YCR054C	NA
YCR057C	1
YCR059C	2
YCR060W	1
YCR061W	NA
YCR063W	NA
YCR064C	NA
YCR065W	NA
YCR066W	2
YCR067C	1
YCR068W	NA
YCR069W	NA
YCR071C	1
YCR072C	NA
YCR073C	NA
YCR073W-A	NA
YCR075C	NA
YCR076C	1
YCR077C	NA
YCR079W	NA
YCR081W	NA
YCR082W	NA
YCR083W	NA
YCR084C	NA
YCR085W	NA
YCR086W	NA
YCR087C-A	NA
YCR087W	NA
YCR088W	NA
YCR089W	1
YCR090C	4
YCR091W	NA
YCR092C	NA
YCR093W	1
YCR094W	1
YCR095C	1
YCR096C	NA
YCR097W	NA
YCR097W-A	NA
YCR098C	NA
YCR099C	1
YCR100C	NA
YCR101C	NA
YCR102C	NA
YCR102W-A	NA
YCR104W	NA
YCR105W	NA
YCR106W	NA
YCR107W	NA
YDL001W	NA
YDL002C	NA
YDL003W	NA
YDL004W	3
YDL005C	2
YDL006W	1
YDL007W	2
YDL008W	NA
YDL009C	NA
YDL010W	2
YDL011C	1
YDL012C	NA
YDL013W	3
YDL014W	13
YDL015C	NA
YDL016C	8
YDL017W	NA
YDL018C	2
YDL019C	1
YDL020C	1
YDL021W	NA
YDL022W	8
YDL023C	NA
YDL024C	1
YDL025C	1
YDL026W	NA
YDL027C	NA
YDL028C	NA
YDL029W	4
YDL030W	NA
YDL031W	NA
YDL032W	NA
YDL033C	NA
YDL034W	NA
YDL035C	1
YDL036C	1
YDL037C	NA
YDL038C	1
YDL039C	NA
YDL040C	3
YDL041W	NA
YDL042C	NA
YDL043C	NA
YDL044C	NA
YDL045C	1
YDL045W-A	NA
YDL046W	11
YDL047W	1
YDL048C	1
YDL049C	NA
YDL050C	NA
YDL051W	NA
YDL052C	2
YDL053C	NA
YDL054C	2
YDL056W	1
YDL057W	NA
YDL058W	NA
YDL059C	NA
YDL060W	NA
YDL061C	NA
YDL062W	NA
YDL063C	NA
YDL064W	NA
YDL065C	NA
YDL066W	NA
YDL067C	NA
YDL068W	NA
YDL069C	2
YDL070W	8
YDL071C	NA
YDL072C	4
YDL073W	NA
YDL074C	2
YDL075W	70
YDL076C	1
YDL077C	1
YDL078C	4
YDL079C	NA
YDL080C	2
YDL081C	NA
YDL082W	NA
YDL083C	37
YDL084W	9
YDL085C-A	NA
YDL085W	NA
YDL086W	7
YDL087C	NA
YDL088C	NA
YDL089W	NA
YDL090C	NA
YDL091C	NA
YDL092W	6
YDL093W	NA
YDL094C	NA
YDL095W	1
YDL096C	NA
YDL097C	2
YDL098C	1
YDL099W	1
YDL100C	7
YDL101C	NA
YDL102W	1
YDL103C	NA
YDL104C	NA
YDL105W	2
YDL106C	NA
YDL107W	1
YDL108W	NA
YDL109C	NA
YDL110C	3
YDL111C	1
YDL112W	NA
YDL113C	NA
YDL114W	NA
YDL114W-A	NA
YDL115C	NA
YDL116W	NA
YDL117W	NA
YDL118W	NA
YDL119C	NA
YDL120W	2
YDL121C	2
YDL122W	2
YDL123W	NA
YDL124W	6
YDL125C	10
YDL127W	NA
YDL128W	2
YDL129W	NA
YDL130W	NA
YDL130W-A	3
YDL131W	NA
YDL132W	1
YDL133C-A	NA
YDL133W	1
YDL134C	2
YDL135C	1
YDL136W	NA
YDL137W	9
YDL138W	NA
YDL139C	NA
YDL140C	NA
YDL141W	NA
YDL142C	NA
YDL143W	8
YDL144C	NA
YDL145C	6
YDL146W	1
YDL147W	6
YDL148C	1
YDL149W	1
YDL150W	NA
YDL151C	NA
YDL152W	NA
YDL153C	3
YDL154W	1
YDL155W	1
YDL156W	NA
YDL157C	NA
YDL158C	1
YDL159W	NA
YDL159W-A	NA
YDL160C	1
YDL161W	NA
YDL162C	NA
YDL163W	NA
YDL164C	1
YDL165W	NA
YDL166C	2
YDL167C	NA
YDL168W	NA
YDL169C	NA
YDL170W	1
YDL171C	1
YDL172C	NA
YDL173W	5
YDL174C	1
YDL175C	NA
YDL176W	NA
YDL177C	1
YDL178W	NA
YDL179W	NA
YDL180W	1
YDL181W	3
YDL182W	NA
YDL183C	NA
YDL184C	205
YDL185C-A	NA
YDL185W	4
YDL186W	NA
YDL187C	NA
YDL188C	1
YDL189W	NA
YDL190C	NA
YDL191W	NA
YDL192W	24
YDL193W	NA
YDL194W	NA
YDL195W	2
YDL196W	NA
YDL197C	1
YDL198C	1
YDL199C	NA
YDL200C	2
YDL201W	1
YDL202W	NA
YDL203C	NA
YDL204W	NA
YDL205C	1
YDL206W	1
YDL207W	1
YDL208W	NA
YDL209C	NA
YDL210W	NA
YDL211C	NA
YDL212W	7
YDL213C	4
YDL214C	NA
YDL215C	1
YDL216C	NA
YDL217C	NA
YDL218W	NA
YDL219W	NA
YDL220C	NA
YDL221W	NA
YDL222C	NA
YDL223C	NA
YDL224C	2
YDL225W	2
YDL226C	1
YDL227C	NA
YDL228C	NA
YDL229W	1
YDL230W	NA
YDL231C	NA
YDL232W	4
YDL233W	1
YDL234C	NA
YDL235C	NA
YDL236W	2
YDL237W	1
YDL238C	NA
YDL239C	NA
YDL240C-A	NA
YDL240W	NA
YDL241W	NA
YDL242W	NA
YDL243C	NA
YDL244W	NA
YDL245C	NA
YDL246C	NA
YDL247W	NA
YDL247W-A	NA
YDL248W	NA
YDR001C	6
YDR002W	12
YDR003W	3
YDR004W	NA
YDR005C	NA
YDR006C	2
YDR007W	NA
YDR008C	NA
YDR009W	NA
YDR010C	NA
YDR011W	NA
YDR012W	NA
YDR013W	1
YDR014W	NA
YDR015C	NA
YDR016C	NA
YDR017C	NA
YDR018C	NA
YDR019C	2
YDR020C	1
YDR021W	NA
YDR022C	NA
YDR023W	12
YDR024W	NA
YDR025W	NA
YDR026C	NA
YDR027C	1
YDR028C	1
YDR029W	NA
YDR030C	1
YDR031W	NA
YDR032C	9
YDR033W	22
YDR034C	1
YDR034C-A	1
YDR034C-C	NA
YDR034C-D	NA
YDR034W-B	NA
YDR035W	2
YDR036C	NA
YDR037W	8
YDR038C	NA
YDR039C	NA
YDR040C	NA
YDR041W	NA
YDR042C	NA
YDR043C	NA
YDR044W	NA
YDR045C	NA
YDR046C	1
YDR047W	3
YDR048C	NA
YDR049W	NA
YDR050C	NA
YDR051C	1
YDR052C	NA
YDR053W	NA
YDR054C	NA
YDR055W	NA
YDR056C	NA
YDR057W	NA
YDR058C	1
YDR059C	2
YDR060W	1
YDR061W	NA
YDR062W	4
YDR063W	NA
YDR064W	47
YDR065W	NA
YDR066C	NA
YDR067C	NA
YDR068W	1
YDR069C	2
YDR070C	NA
YDR071C	8
YDR072C	1
YDR073W	NA
YDR074W	5
YDR075W	NA
YDR076W	NA
YDR077W	38
YDR078C	NA
YDR079C-A	NA
YDR079W	2
YDR080W	NA
YDR081C	NA
YDR082W	NA
YDR083W	3
YDR084C	1
YDR085C	3
YDR086C	NA
YDR087C	NA
YDR088C	1
YDR089W	1
YDR090C	NA
YDR091C	NA
YDR092W	NA
YDR093W	2
YDR094W	NA
YDR095C	NA
YDR096W	NA
YDR097C	NA
YDR098C	1
YDR098C-A	NA
YDR098C-B	NA
YDR100W	2
YDR101C	3
YDR102C	NA
YDR103W	1
YDR104C	NA
YDR105C	NA
YDR106W	1
YDR107C	1
YDR108W	1
YDR109C	NA
YDR110W	1
YDR111C	NA
YDR112W	NA
YDR113C	1
YDR114C	NA
YDR115W	1
YDR116C	NA
YDR117C	2
YDR118W	NA
YDR119W	2
YDR120C	4
YDR121W	NA
YDR122W	3
YDR123C	NA
YDR124W	NA
YDR125C	NA
YDR126W	NA
YDR127W	5
YDR128W	1
YDR129C	6
YDR130C	NA
YDR131C	NA
YDR132C	NA
YDR133C	NA
YDR135C	4
YDR136C	NA
YDR137W	1
YDR138W	NA
YDR139C	NA
YDR140W	NA
YDR141C	NA
YDR142C	NA
YDR143C	NA
YDR144C	NA
YDR145W	NA
YDR146C	1
YDR147W	NA
YDR148C	1
YDR149C	NA
YDR150W	1
YDR151C	NA
YDR152W	2
YDR153C	NA
YDR154C	NA
YDR155C	NA
YDR156W	1
YDR157W	NA
YDR158W	NA
YDR159W	1
YDR160W	NA
YDR161W	NA
YDR162C	NA
YDR163W	NA
YDR164C	1
YDR165W	4
YDR166C	NA
YDR167W	NA
YDR168W	2
YDR169C	1
YDR170C	2
YDR170W-A	NA
YDR171W	2
YDR172W	1
YDR173C	NA
YDR174W	12
YDR175C	NA
YDR176W	NA
YDR177W	4
YDR178W	4
YDR179C	NA
YDR179W-A	NA
YDR180W	1
YDR181C	NA
YDR182W	1
YDR183W	NA
YDR184C	NA
YDR185C	NA
YDR186C	1
YDR187C	NA
YDR188W	6
YDR189W	NA
YDR190C	3
YDR191W	NA
YDR192C	NA
YDR193W	NA
YDR194C	NA
YDR195W	1
YDR196C	1
YDR197W	NA
YDR198C	2
YDR199W	NA
YDR200C	1
YDR201W	NA
YDR202C	NA
YDR203W	NA
YDR204W	NA
YDR205W	NA
YDR206W	NA
YDR207C	NA
YDR208W	NA
YDR209C	NA
YDR210C-C	NA
YDR210C-D	NA
YDR210W	NA
YDR210W-A	NA
YDR210W-B	NA
YDR211W	1
YDR212W	3
YDR213W	1
YDR214W	NA
YDR215C	1
YDR216W	2
YDR217C	1
YDR218C	NA
YDR219C	1
YDR220C	NA
YDR221W	2
YDR222W	NA
YDR223W	NA
YDR224C	35
YDR225W	NA
YDR227W	1
YDR228C	1
YDR229W	NA
YDR230W	NA
YDR231C	NA
YDR232W	1
YDR233C	NA
YDR234W	NA
YDR235W	NA
YDR236C	NA
YDR237W	NA
YDR238C	NA
YDR239C	1
YDR240C	NA
YDR241W	NA
YDR242W	1
YDR243C	1
YDR244W	2
YDR245W	3
YDR246W	1
YDR247W	1
YDR248C	NA
YDR249C	NA
YDR250C	NA
YDR251W	2
YDR252W	NA
YDR253C	1
YDR254W	NA
YDR255C	NA
YDR256C	NA
YDR257C	NA
YDR258C	5
YDR259C	2
YDR260C	1
YDR261C	NA
YDR261C-C	NA
YDR261C-D	NA
YDR261W-A	NA
YDR261W-B	NA
YDR262W	1
YDR263C	NA
YDR264C	1
YDR265W	NA
YDR266C	NA
YDR267C	3
YDR268W	2
YDR269C	NA
YDR270W	NA
YDR271C	NA
YDR272W	2
YDR273W	NA
YDR274C	NA
YDR275W	1
YDR276C	72
YDR277C	NA
YDR278C	NA
YDR279W	NA
YDR280W	2
YDR281C	NA
YDR282C	2
YDR283C	NA
YDR284C	1
YDR285W	NA
YDR286C	NA
YDR287W	NA
YDR288W	1
YDR289C	1
YDR290W	NA
YDR291W	NA
YDR292C	NA
YDR293C	1
YDR294C	4
YDR295C	2
YDR296W	2
YDR297W	4
YDR298C	2
YDR299W	1
YDR300C	NA
YDR301W	NA
YDR302W	2
YDR303C	5
YDR304C	NA
YDR305C	1
YDR306C	2
YDR307W	1
YDR308C	1
YDR309C	1
YDR310C	NA
YDR311W	NA
YDR312W	1
YDR313C	NA
YDR314C	NA
YDR315C	NA
YDR316W	NA
YDR316W-A	NA
YDR316W-B	NA
YDR317W	NA
YDR318W	NA
YDR319C	1
YDR320C	NA
YDR320C-A	NA
YDR321W	NA
YDR322C-A	NA
YDR322W	NA
YDR323C	NA
YDR324C	NA
YDR325W	NA
YDR326C	1
YDR327W	NA
YDR328C	NA
YDR329C	1
YDR330W	NA
YDR331W	NA
YDR332W	NA
YDR333C	1
YDR334W	NA
YDR335W	NA
YDR336W	NA
YDR337W	NA
YDR338C	NA
YDR339C	2
YDR340W	NA
YDR341C	2
YDR342C	NA
YDR343C	NA
YDR344C	NA
YDR345C	8
YDR346C	6
YDR347W	1
YDR348C	1
YDR349C	1
YDR350C	1
YDR351W	NA
YDR352W	NA
YDR353W	10
YDR354W	NA
YDR355C	NA
YDR356W	NA
YDR357C	NA
YDR358W	NA
YDR359C	NA
YDR360W	NA
YDR361C	4
YDR362C	1
YDR363W	NA
YDR363W-A	10
YDR364C	NA
YDR365C	2
YDR365W-A	NA
YDR365W-B	NA
YDR366C	NA
YDR367W	1
YDR368W	2
YDR369C	NA
YDR370C	NA
YDR371W	3
YDR372C	1
YDR373W	NA
YDR374C	NA
YDR375C	NA
YDR376W	4
YDR377W	7
YDR378C	1
YDR379C-A	NA
YDR379W	2
YDR380W	NA
YDR381C-A	NA
YDR381W	NA
YDR382W	169
YDR383C	3
YDR384C	2
YDR385W	NA
YDR386W	NA
YDR387C	NA
YDR388W	NA
YDR389W	NA
YDR390C	1
YDR391C	2
YDR392W	1
YDR393W	1
YDR394W	10
YDR395W	NA
YDR396W	1
YDR397C	1
YDR398W	1
YDR399W	NA
YDR400W	NA
YDR401W	NA
YDR402C	NA
YDR403W	NA
YDR404C	4
YDR405W	NA
YDR406W	NA
YDR407C	1
YDR408C	3
YDR409W	1
YDR410C	2
YDR411C	3
YDR412W	NA
YDR413C	NA
YDR414C	NA
YDR415C	1
YDR416W	NA
YDR417C	NA
YDR418W	43
YDR419W	NA
YDR420W	NA
YDR421W	NA
YDR422C	NA
YDR423C	NA
YDR424C	1
YDR425W	NA
YDR426C	NA
YDR427W	8
YDR428C	NA
YDR429C	11
YDR430C	2
YDR431W	NA
YDR432W	5
YDR433W	NA
YDR434W	NA
YDR435C	NA
YDR436W	NA
YDR437W	NA
YDR438W	1
YDR439W	NA
YDR440W	NA
YDR441C	NA
YDR442W	NA
YDR443C	NA
YDR444W	NA
YDR445C	NA
YDR446W	1
YDR447C	48
YDR448W	2
YDR449C	NA
YDR450W	NA
YDR451C	NA
YDR452W	8
YDR453C	4
YDR454C	5
YDR455C	NA
YDR456W	3
YDR457W	1
YDR458C	1
YDR459C	1
YDR460W	1
YDR461W	1
YDR462W	2
YDR463W	NA
YDR464W	NA
YDR465C	1
YDR466W	NA
YDR467C	NA
YDR468C	NA
YDR469W	NA
YDR470C	NA
YDR471W	NA
YDR472W	3
YDR473C	NA
YDR474C	1
YDR475C	NA
YDR476C	NA
YDR477W	NA
YDR478W	NA
YDR479C	2
YDR480W	NA
YDR481C	2
YDR482C	NA
YDR483W	4
YDR484W	NA
YDR485C	NA
YDR486C	1
YDR487C	NA
YDR488C	1
YDR489W	1
YDR490C	NA
YDR491C	NA
YDR492W	NA
YDR493W	NA
YDR494W	1
YDR495C	NA
YDR496C	1
YDR497C	7
YDR498C	NA
YDR499W	NA
YDR500C	40
YDR501W	NA
YDR503C	NA
YDR504C	NA
YDR505C	NA
YDR506C	NA
YDR507C	NA
YDR508C	1
YDR509W	NA
YDR510W	8
YDR511W	1
YDR512C	NA
YDR513W	NA
YDR514C	1
YDR515W	NA
YDR516C	9
YDR517W	1
YDR518W	NA
YDR519W	NA
YDR520C	1
YDR521W	NA
YDR522C	NA
YDR523C	NA
YDR524C	NA
YDR525W	NA
YDR525W-A	1
YDR526C	NA
YDR527W	1
YDR528W	NA
YDR529C	8
YDR530C	3
YDR531W	NA
